"pair","type","cosine_similarity","prompt_similarity"
"simply-catch","unrelated",0.273231413064707,0.1
"inspire-inspiration","related",0.729234475663749,0.85
"cabin-deck","related",0.459470989274372,0.732
"atomic-nuclear","related",0.505789770337564,0.868
"hearing-carpet","unrelated",0.268846487995181,0.05
"slave-tornado","unrelated",0.222298474458017,0.002
"eternal-transfer","unrelated",0.204634822685246,0.091
"out-gift","unrelated",0.297734735162152,0.235
"scary-creepy","related",0.682981991048208,0.897
"sea-ocean","related",0.462589354747083,0.95
"propose-suggest","related",0.572645771408017,0.845
"financially-financing","related",0.577152603563945,0.867
"navigation-kingdom","unrelated",0.278523228204176,0.235
"relationship-oil","unrelated",0.263048086262489,0.135
"bring-legal","unrelated",0.262107379244989,0.234
"monkey-gorilla","related",0.539697438224248,0.874
"victory-knife","unrelated",0.199661805560614,0.083
"secret-mystery","related",0.470135196849661,0.845
"service-verify","unrelated",0.33254058262304,0.25
"disgusting-ugly","related",0.575864631465633,0.75
"spoon-fork","related",0.395116616295514,0.872
"two-fast","unrelated",0.238111856085657,0.2
"lipstick-perfume","related",0.413313221685212,0.754
"daily-donation","unrelated",0.26410026414142,0.245
"exciting-directly","unrelated",0.169872346635709,0.1
"surgeon-doctor","related",0.515740921926886,0.91
"soft-gentle","related",0.538514806104445,0.754
"hope-blue","unrelated",0.288049557905273,0.224
"earthquake-disgusting","unrelated",0.186749092061761,0.1
"word-sentence","related",0.444385190652227,0.672
"desert-valley","related",0.437198830478534,0.684
"admire-telephone","unrelated",0.158293106632963,0.052
"waste-trial","unrelated",0.297169079972068,0.125
"trash-garbage","related",0.594070900964478,1
"quantity-go","unrelated",0.328397171804681,0.135
"opposite-contrary","related",0.735547658557584,0.842
"shower-failure","unrelated",0.214427198466252,0.122
"hurricane-tornado","related",0.585740214876812,0.872
"technical-venus","unrelated",0.17794233358571,0.15
"bone-skull","related",0.405314891472598,0.875
"ill-decade","unrelated",0.200149429761143,0.072
"senior-real","unrelated",0.31107112482088,0.212
"preparation-prison","unrelated",0.303678466367607,0.125
"software-computer","related",0.560149002989614,0.901
"philosophy-married","unrelated",0.149463714339377,0.197
"elsewhere-somewhere","related",0.534445441037253,0.762
"competition-championship","related",0.414570897063567,0.874
"mother-paranormal","unrelated",0.182995590975257,0.124
"software-hungry","unrelated",0.207475200171066,0.05
"radio-rabbit","unrelated",0.410548289909809,0.1
"popular-famous","related",0.546014201236986,0.875
"expert-vodka","unrelated",0.174984241219716,0.01
"worried-nervous","related",0.467345839275539,0.823
"disgusting-pressure","unrelated",0.180346877851228,0.235
"doll-toy","related",0.558831661785163,0.86
"good-bad","related",0.612197289027116,0.79
"total-complete","related",0.629509491906062,0.842
"credit-loan","related",0.509942465873276,0.912
"bomb-explosive","related",0.543316312306616,0.895
"hotel-juliet","unrelated",0.269787112846265,0.105
"fake-explosion","unrelated",0.204512979646203,0.112
"move-cigar","unrelated",0.273447720673621,0.1
"elsewhere-criminal","unrelated",0.26386197083284,0.1
"finally-eventually","related",0.493708374487267,0.75
"anniversary-explosive","unrelated",0.252079292199269,0.045
"forgive-excuse","related",0.600940629649637,0.823
"guard-horrible","unrelated",0.166485273435295,0.1
"radar-lunch","unrelated",0.21575696280765,0.05
"noble-brave","related",0.457927820000443,0.654
"cinnamon-battalion","unrelated",0.236775375750388,0.005
"revenge-justice","related",0.37151914128483,0.743
"just-recently","related",0.467341427575864,0.321
"member-leader","related",0.638461874323884,0.731
"slow-fast","related",0.563531646550759,0.763
"ash-dust","related",0.464032612990591,0.842
"listen-mountain","unrelated",0.226013707874363,0.112
"witness-testimony","related",0.690138786529078,0.857
"nobel-prize","related",0.516991706208693,0.98
"secret-civilization","unrelated",0.140322199509712,0.25
"weight-helicopter","unrelated",0.227501686848363,0.215
"channel-news","related",0.332842033308447,0.75
"bible-lobster","unrelated",0.200368760128475,0.05
"invasion-attack","related",0.507775545943581,0.845
"channel-stroll","unrelated",0.165308885330976,0.1
"top-bottom","related",0.739067603887904,0.842
"rest-sleep","related",0.458819922557791,0.875
"comfortable-pleasant","related",0.550798644141822,0.762
"spinal-abdominal","related",0.43301381699205,0.742
"skirt-dress","related",0.464798813466225,0.872
"healthy-excuse","unrelated",0.24107007566183,0.102
"push-very","unrelated",0.285688019045101,0
"cover-hide","related",0.555151167312862,0.644
"value-skull","unrelated",0.213097402789696,0.155
"follow-chase","related",0.406413717148081,0.856
"monday-tuesday","related",0.66279082298772,0.895
"steal-rob","related",0.352553220493564,0.87
"big-huge","related",0.828939407485556,0.91
"frequency-calm","unrelated",0.214866542348506,0.15
"widow-woman","related",0.483484669964673,0.734
"cocaine-wire","unrelated",0.239515453008869,0.045
"voice-approval","unrelated",0.356612528795969,0.345
"eye-ear","related",0.649104930113493,0.75
"proud-excited","related",0.541288738632548,0.621
"wine-dark","unrelated",0.327135742109796,0.25
"toilet-sink","related",0.424036774416782,0.786
"agent-detective","related",0.441849137870326,0.756
"trouble-problem","related",0.539845297596727,0.873
"dig-bury","related",0.362031605890637,0.842
"arrive-come","related",0.556804657808291,0.897
"open-close","related",0.610410024640512,0.754
"briefcase-ability","unrelated",0.233248949652778,0.205
"glass-bottle","related",0.498812023496451,0.839
"parliament-freeze","unrelated",0.109801707133628,0.1
"suddenly-unexpectedly","related",0.681461261560765,0.879
"christmas-armory","unrelated",0.142208448402689,0.045
"telescope-cut","unrelated",0.177970818936334,0.112
"seller-joy","unrelated",0.278748417999813,0.123
"humble-modest","related",0.72685642774063,0.85
"surprise-scar","unrelated",0.331580993677928,0.215
"read-write","related",0.571295485585495,0.85
"pocket-alien","unrelated",0.20821156561544,0.12
"low-high","related",0.638985450424361,0.856
"iron-metal","related",0.66839062483428,0.876
"quiet-calm","related",0.628548630506289,0.872
"power-energy","related",0.604504033910728,0.847
"celebrity-star","related",0.428993044964526,0.872
"character-personality","related",0.520803464979162,0.765
"cocaine-heroin","related",0.632421924779244,0.9
"question-ask","related",0.632845163491034,0.754
"extremely-very","related",0.591171776784237,0.752
"inability-unable","related",0.666816522652495,0.85
"consider-think","related",0.731352614007965,0.872
"active-activity","related",0.58003429396429,0.758
"hate-love","related",0.37315064810728,0.825
"live-survive","related",0.42616478206942,0.732
"south-schedule","unrelated",0.208161495941942,0.15
"tank-engine","related",0.461896860193178,0.652
"button-press","related",0.524504760466445,0.754
"arsenal-armory","related",0.345488722399797,0.757
"bear-wolf","related",0.535509650870037,0.672
"hunger-thirst","related",0.647083107845478,0.754
"carbon-hydrogen","related",0.429329706114177,0.872
"princess-gather","unrelated",0.233447602851726,0.102
"late-early","related",0.646225828744294,0.754
"method-technique","related",0.544534614100518,0.874
"southern-western","related",0.482125972544221,0.652
"manage-chest","unrelated",0.268047843423605,0.1
"warning-audience","unrelated",0.292481215634107,0.234
"article-spirit","unrelated",0.309368824439299,0.21
"what-administrative","unrelated",0.207626193054384,0.15
"reporter-swim","unrelated",0.214923148243763,0.112
"tournament-match","related",0.565343742815024,0.78
"congratulate-animal","unrelated",0.167506948154379,0
"interrupt-bruise","unrelated",0.278015818431714,0.104
"competition-oath","unrelated",0.223778007501251,0.12
"lawyer-dance","unrelated",0.232414100202426,0.045
"dinner-breakfast","related",0.580008281321829,0.623
"amateur-rear","unrelated",0.259618042047585,0.05
"dude-democracy","unrelated",0.258592606234715,0.125
"slave-servant","related",0.596882761374875,0.762
"pound-dollar","related",0.530528399849072,0.845
"autograph-subject","unrelated",0.276282530931408,0.245
"text-poem","related",0.372988141449261,0.754
"pride-turkey","unrelated",0.235954008137983,0.112
"monk-priest","related",0.516516736330356,0.789
"gallery-drug","unrelated",0.30380483556952,0.123
"refuse-accept","related",0.419931774308762,0.21
"producer-north","unrelated",0.248163168779425,0.12
"english-reduce","unrelated",0.220108283927943,0.234
"size-length","related",0.61066081202529,0.754
"ill-sick","related",0.381423852922013,0.95
"forbidden-outcome","unrelated",0.231461024658242,0.215
"okay-yeah","related",0.574279822257665,0.789
"ring-necklace","related",0.448472854018311,0.85
"thin-thick","related",0.634116143748212,0.789
"honey-butter","related",0.526233826105124,0.752
"badge-uniform","related",0.4132628887529,0.754
"arrive-unpleasant","unrelated",0.208183420443388,0.045
"engagement-fantastic","unrelated",0.205535252745102,0.112
"climb-funding","unrelated",0.193099041836821,0.221
"advice-length","unrelated",0.261700635276364,0.143
"dragon-absence","unrelated",0.109543760282037,0.01
"ordinary-signature","unrelated",0.298947085266246,0.236
"coal-highness","unrelated",0.136798855352717,0.045
"dramatic-package","unrelated",0.286683353702178,0.125
"urgent-remember","unrelated",0.332037656648376,0.245
"impossible-university","unrelated",0.207448893848912,0.215
"strong-surface","unrelated",0.260065130893653,0.345
"career-lock","unrelated",0.230534879242702,0.1
"suffer-charming","unrelated",0.181913316073546,0.1
"model-emergency","unrelated",0.234762937187503,0.245
"capsule-probe","related",0.280176308528155,0.472
"silent-fishing","unrelated",0.163903985872186,0.05
"shark-password","unrelated",0.242388764306404,0
"farmer-blackmail","unrelated",0.201266368941648,0.012
"layer-let","unrelated",0.474582634487636,0.125
"helpless-powerless","related",0.768737810035608,0.85
"court-substitute","unrelated",0.310955414736628,0.245
"conservative-toy","unrelated",0.219225898538039,0.102
"bonus-sunday","unrelated",0.326642466366292,0.12
"espionage-black","unrelated",0.182375857108815,0.204
"taxi-modest","unrelated",0.23046488429042,0.125
"miserable-discussion","unrelated",0.187789865667711,0.125
"phase-small","unrelated",0.242636317101674,0.243
"goose-duck","related",0.515169933642011,0.875
"chancellor-president","related",0.473749472817332,0.754
"finger-garage","unrelated",0.278710209878928,0.104
"atomic-valley","unrelated",0.185945077611839,0.045
"shine-machine","unrelated",0.194168642203624,0.215
"arrange-organize","related",0.6538193484159,0.812
"punish-race","unrelated",0.259632747710516,0.112
"badge-knew","unrelated",0.286507553570527,0
"wall-fence","related",0.41986678361706,0.753
"imagination-fleet","unrelated",0.163536679926593,0.15
"actually-really","related",0.480051313486552,0.743
"officially-official","related",0.670235929047986,0.725
"beach-coast","related",0.540543225799466,0.874
"chain-rope","related",0.339957546306564,0.854
"dna-scandal","unrelated",0.171200012726856,0.223
"trailer-van","related",0.246745923199515,0.75
"chaos-bro","unrelated",0.262635516196903,0.125
"ignorance-arrogance","related",0.50895386582451,0.622
"hair-watson","unrelated",0.184380168845638,0.1
"climb-jump","related",0.42065891869727,0.742
"radius-perimeter","related",0.450277918025792,0.569
"widow-van","unrelated",0.256220017242682,0.05
"navigation-communication","related",0.33707324590518,0.579
"live-ship","unrelated",0.249172480685376,0.15
"protect-structure","unrelated",0.42060989704354,0.632
"universe-galaxy","related",0.501413521555681,0.872
"unit-division","related",0.583476320211607,0.756
"dynasty-tell","unrelated",0.274775816030091,0.1
"governor-jacket","unrelated",0.286151302202624,0.05
"expensive-cheap","related",0.542821950171734,0.85
"sensor-transmitter","related",0.376047770537715,0.782
"right-french","unrelated",0.270446750299006,0.223
"honey-calculate","unrelated",0.242734129356528,0
"hunting-fishing","related",0.585549856512306,0.823
"ridiculous-ear","unrelated",0.217720510959592,0.05
"unfortunate-something","unrelated",0.297482885776172,0.195
"responsibility-duty","related",0.605215215396139,0.85
"never-ever","related",0.693201151674086,0.786
"satisfied-happy","related",0.610930511223276,0.887
"superman-batman","related",0.563936961115638,0.921
"shark-fish","related",0.4061167925396,0.895
"report-cap","unrelated",0.309568753328775,0.15
"gunpowder-dynamite","related",0.416060092132403,0.85
"sugar-ever","unrelated",0.214557748975248,0
"lunar-solar","related",0.515193765330371,0.756
"create-produce","related",0.51734743214911,0.832
"white-black","related",0.551665654546909,0.75
"normally-usually","related",0.738497457692578,0.75
"million-billion","related",0.596163323375078,0.92
"church-prize","unrelated",0.200418953831227,0.15
"land-style","unrelated",0.158950780189712,0.215
"alone-fluid","unrelated",0.209389573199527,0.2
"glasses-hear","unrelated",0.286893135125826,0.125
"boys-girls","related",0.718709153529932,0.872
"jazz-coast","unrelated",0.238977300287627,0.2
"majority-vote","related",0.329189896384753,0.823
"lunar-raccoon","unrelated",0.263239257736121,0.05
"motive-flower","unrelated",0.180347360341051,0.1
"complaint-city","unrelated",0.218073616823863,0.245
"caliber-bullet","related",0.432432768730119,0.887
"front-really","unrelated",0.327002017252012,0
"ambassador-insect","unrelated",0.189125081019651,0.05
"jeep-truck","related",0.464257363345822,0.841
"culture-nervous","unrelated",0.235243452006556,0.142
"tasty-fingerprint","unrelated",0.260061941185457,0
"bay-harbor","related",0.426963958705874,0.862
"stick-hammer","related",0.447353479310537,0.654
"nightmare-perfume","unrelated",0.19148882292466,0.095
"dean-wealth","unrelated",0.2798680158168,0.22
"seminar-meat","unrelated",0.231831949496806,0.045
"naturally-generally","related",0.470338068421046,0.25
"equipment-equip","related",0.753039849094792,0.541
"follow-circus","unrelated",0.233527498080532,0.083
"therapy-treatment","related",0.605858894912185,0.875
"mistress-particle","unrelated",0.195846572033509,0.045
"plus-minus","related",0.554701456277723,0.897
"dessert-cake","related",0.493134424365231,0.9
"blood-urine","related",0.362448620234594,0.75
"budget-funding","related",0.518911513859262,0.865
"impression-metal","unrelated",0.228116168229326,0.058
"paradise-hell","related",0.40330630647437,0.842
"suicide-signal","unrelated",0.273587366250288,0.095
"blanket-towel","related",0.518999152525617,0.615
"question-devil","unrelated",0.24893829971018,0.15
"chancellor-technique","unrelated",0.127587926871463,0.215
"pride-dignity","related",0.590232136287143,0.773
"enough-sufficient","related",0.765378907659714,0.901
"propose-gram","unrelated",0.215222985623278,0.1
"refuge-television","unrelated",0.186148530701408,0.102
"rum-cognac","related",0.246217546449377,0.85
"marathon-race","related",0.353930294640555,0.874
"compliment-gift","related",0.402449766842018,0.787
"student-definition","unrelated",0.275734448976985,0.321
"naïve-sip","unrelated",0.173794605482114,0.125
"rhythm-style","related",0.45115412627287,0.654
"lawyer-prosecutor","related",0.503789024754404,0.85
"cinema-theater","related",0.544272500010412,0.873
"campaign-election","related",0.475783853508976,0.867
"heat-temperature","related",0.613846089133197,0.894
"poverty-misery","related",0.490789902250482,0.876
"magic-wallet","unrelated",0.323527326327504,0.045
"narrow-forever","unrelated",0.134197339587352,0.1
"popular-informant","unrelated",0.218047126509996,0.245
"room-friendship","unrelated",0.272833731536106,0.1
"chain-determination","unrelated",0.178626057645803,0.215
"operate-surgery","related",0.34036620061049,0.85
"cloth-handkerchief","related",0.481726397624687,0.875
"personal-intimate","related",0.532240900531031,0.736
"sherlock-battle","unrelated",0.239674523930109,0.2
"uncle-watch","unrelated",0.308142745153293,0.12
"combat-fight","related",0.778681237670433,0.875
"capacity-ability","related",0.562289548132131,0.754
"finance-suspect","unrelated",0.230197760627086,0.205
"spring-fork","unrelated",0.50634823724093,0.112
"africa-america","related",0.511279550001758,0.756
"idea-theory","related",0.599568466413417,0.824
"slow-government","unrelated",0.242865147622465,0.214
"learn-teach","related",0.550819457436451,0.823
"frequency-signal","related",0.41199813188607,0.472
"cook-energy","unrelated",0.210318486522058,0.245
"critical-boss","unrelated",0.319019369292224,0.345
"hostage-produce","unrelated",0.20496553091235,0.045
"project-fear","unrelated",0.266067571961621,0.21
"nothing-something","related",0.622031553329903,0.743
"member-ultimate","unrelated",0.358677465861623,0.111
"compass-map","related",0.484934980937407,0.85
"nail-tooth","related",0.519057113528192,0.561
"royal-kingdom","related",0.51403709898035,0.85
"mouse-rat","related",0.421741141279232,0.872
"tuna-temperature","unrelated",0.27763016589941,0.12
"enter-neck","unrelated",0.495793883298811,0.05
"international-world","related",0.447391341773581,0.873
"lesbian-gay","related",0.546789245274632,0.92
"trouble-senator","unrelated",0.18732535853849,0.245
"loyal-nuclear","unrelated",0.243510468621192,0.05
"area-zone","related",0.613930597865018,0.825
"genius-past","unrelated",0.192417151950722,0.15
"medical-hat","unrelated",0.354894196786169,0.05
"influence-effect","related",0.508234855551002,0.852
"extra-painter","unrelated",0.219601042307903,0.2
"sober-drunk","related",0.601809124043513,0.85
"concrete-steel","related",0.421256749329654,0.754
"hotel-motel","related",0.532382713019594,0.849
"arrival-departure","related",0.605214698032958,0.874
"interrupt-disturb","related",0.520758600403823,0.845
"box-cardinal","unrelated",0.257244594273625,0.12
"forget-remember","related",0.658501298977815,0.879
"fox-repair","unrelated",0.255834663372347,0.1
"church-chapel","related",0.526587275376151,0.842
"circle-triangle","related",0.636970506810514,0.642
"third-do","unrelated",0.264219384533822,0.123
"situation-sale","unrelated",0.311001774473694,0.476
"saturday-product","unrelated",0.266078916497703,0.122
"wall-manipulate","unrelated",0.210017654081088,0.1
"proceed-continue","related",0.614037542251126,0.875
"artifact-cool","unrelated",0.333120081274727,0.1
"smart-misfortune","unrelated",0.217712202626444,0.123
"pension-salary","related",0.448551636461879,0.754
"poison-statement","unrelated",0.244009293331642,0.103
"telegram-select","unrelated",0.283534362112392,0.1
"answer-reply","related",0.669387243062369,0.845
"motive-alibi","related",0.244694645462458,0.647
"pump-hose","related",0.408993990325898,0.812
"sensational-spectacular","related",0.656176782647783,0.865
"search-butter","unrelated",0.276336171575202,0.025
"phenomenon-die","unrelated",0.270665650768752,0.112
"beast-animal","related",0.520907929834005,0.872
"chemistry-biology","related",0.548415742699234,0.812
"drown-swim","related",0.5124212501794,0.799
"conspiracy-fraud","related",0.44861170320743,0.756
"typical-classic","related",0.448169625675627,0.742
"frog-lizard","related",0.465846580140952,0.752
"road-act","unrelated",0.281487689663806,0.213
"conflict-dispute","related",0.629417186937289,0.857
"useless-community","unrelated",0.258866891547108,0.12
"skirt-investigator","unrelated",0.185008981330711,0.12
"power-fever","unrelated",0.254591352830013,0.114
"enough-nation","unrelated",0.280955226914597,0.205
"god-divine","related",0.504397005598011,0.768
"recognize-knew","related",0.423311521099493,0.246
"ninja-handkerchief","unrelated",0.256452269093718,0.095
"frog-bedroom","unrelated",0.142509403535185,0.05
"kidney-liver","related",0.605574358653183,0.825
"prevent-orange","unrelated",0.23863089911562,0.05
"revelation-crime","unrelated",0.301557242525831,0.227
"single-position","unrelated",0.28942353157768,0.532
"earthquake-explosion","related",0.462632675712086,0.654
"bomb-famous","unrelated",0.301852286822609,0.112
"green-dignity","unrelated",0.137969396509678,0.13
"company-interesting","unrelated",0.315799943522841,0.15
"risky-dangerous","related",0.641286538934658,0.875
"bush-test","unrelated",0.246904585599683,0.112
"donkey-cigarette","unrelated",0.234141758238755,0.015
"fool-idiot","related",0.632184844150934,0.905
"mental-emotional","related",0.516541620810758,0.823
"month-fighter","unrelated",0.193062437074752,0.15
"curse-witch","related",0.368087954017529,0.786
"saturday-sunday","related",0.651284674644103,0.95
"stand-invest","unrelated",0.384239497184693,0.245
"tablet-pill","related",0.626036498915887,0.872
"run-walk","related",0.554068250511826,0.8
"corner-alley","related",0.549196532134788,0.738
"realize-understand","related",0.600040651577979,0.85
"west-meal","unrelated",0.233060434253086,0.15
"humble-communication","unrelated",0.256784878386317,0.215
"collect-silence","unrelated",0.264331822911346,0.125
"incident-hug","unrelated",0.217697972499365,0.1
"tool-drunk","unrelated",0.251673349840171,0.1
