"pair","type","Only_Related_cosine","DifferenceScore_cosine","Related_score_cosine","Unrelated_score_cosine","Only_Related_Prompt","DifferenceScore_Prompt","Related_score_Prompt","Unrelated_score_Prompt"
"object-comedy","unrelated",NA,0.320083571104287,0.613026407986309,0.292942836882022,NA,0.7065,0.825,0.1185
"direct-jewel","unrelated",NA,0.326408277138529,0.535569966374542,0.209161689236013,NA,0.7555,0.875,0.1195
"modern-plate","unrelated",NA,0.171192664162045,0.407824062731988,0.236631398569943,NA,0.693,0.8115,0.1185
"heritage-july","unrelated",NA,0.561604300123997,0.744476057652599,0.182871757528602,NA,0.694,0.85,0.156
"auction-theory","unrelated",NA,0.332680688175359,0.599575086680723,0.266894398505364,NA,0.6835,0.8,0.1165
"conclusion-assumption","related",0.42671894388644,0.14461567856491,0.42671894388644,0.28210326532153,0.668,0.5955,0.668,0.0725
"conversation-forest","unrelated",NA,0.154393741684262,0.484677570433863,0.330283828749601,NA,0.841,0.897,0.056
"singer-musician","related",0.653420401325092,0.417718150870747,0.653420401325092,0.235702250454345,0.9,0.8,0.9,0.1
"nice-judge","unrelated",NA,0.20478369669562,0.477842119568377,0.273058422872757,NA,0.625,0.825,0.2
"angel-baseball","unrelated",NA,0.161080621774956,0.366957071485264,0.205876449710308,NA,0.663,0.713,0.05
"stress-cat","unrelated",NA,0.371494261853206,0.602541397313927,0.231047135460721,NA,0.8395,0.887,0.0475
"impressive-murder","unrelated",NA,0.294006901035071,0.502001862203727,0.207994961168656,NA,0.8,0.8,0
"inability-missile","unrelated",NA,0.281120687040373,0.463502986335439,0.182382299295066,NA,0.8195,0.8195,0
"low-confess","unrelated",NA,0.466257608345139,0.671377334833535,0.205119726488396,NA,0.787,0.837,0.05
"bay-loan","unrelated",NA,0.230946997069291,0.50990982631747,0.278962829248179,NA,0.808,0.883,0.075
"pork-departure","unrelated",NA,0.37655167448952,0.605253078300701,0.228701403811181,NA,0.8,0.8,0
"cable-confusion","unrelated",NA,0.364685275334995,0.554809645422835,0.19012437008784,NA,0.735,0.835,0.1
"ass-official","unrelated",NA,0.299651331080902,0.670228369522353,0.370577038441451,NA,0.7985,0.8235,0.025
"dvd-that","unrelated",NA,0.386026180611253,0.651608252697527,0.265582072086274,NA,0,0,0
"brutal-cruel","related",0.627131300994033,0.431140302088801,0.627131300994033,0.195990998905232,0.9,0.9,0.9,0
"protect-defend","related",0.595991202965775,0.30587358269791,0.595991202965775,0.290117620267865,0.825,0.7085,0.825,0.1165
"sensational-maintain","unrelated",NA,0.488251682006835,0.588494288469257,0.100242606462422,NA,0.567,0.567,0
"allow-let","related",0.599692904806484,0.125115106654174,0.599692904806484,0.47457779815231,0.9,0.7885,0.9,0.1115
"midnight-send","unrelated",NA,0.308017333404792,0.528847033725975,0.220829700321183,NA,0.778,0.778,0
"hunting-collapse","unrelated",NA,0.366626828208972,0.642173841661991,0.275547013453019,NA,0.6475,0.7475,0.1
"circle-lovely","unrelated",NA,0.141967007964651,0.470498490716869,0.328531482752218,NA,0.8,0.8,0
"monk-elegant","unrelated",NA,0.290286618818015,0.528960076382803,0.238673457564788,NA,0.6875,0.7995,0.112
"quantity-quality","related",0.501220747039076,0.227909047162324,0.501220747039076,0.273311699876752,0.4935,0.2645,0.4935,0.229
"prey-ugly","unrelated",NA,0.347861330633328,0.575864631465633,0.228003300832305,NA,0.752,0.752,0
"hobby-sport","related",0.479035005215665,0.202642894150812,0.479035005215665,0.276392111064853,0.746,0.531,0.746,0.215
"underestimate-microphone","unrelated",NA,0.284743156651384,0.469706020272711,0.184962863621327,NA,0.765,0.765,0
"urgent-emergency","related",0.673014852634852,0.43820747575034,0.673014852634852,0.234807376884512,0.9,0.729,0.9,0.171
"command-order","related",0.620745362132304,0.365929978152355,0.620745362132304,0.254815383979949,0.8095,0.6875,0.8095,0.122
"original-copy","related",0.423103881565428,0.191000716495068,0.423103881565428,0.23210316507036,0.7945,0.7015,0.7945,0.093
"clan-family","related",0.457388941537351,0.203936048200572,0.457388941537351,0.253452893336779,0.775,0.725,0.775,0.05
"diamond-jewel","related",0.535569966374542,0.326408277138529,0.535569966374542,0.209161689236013,0.875,0.7555,0.875,0.1195
"property-owner","related",0.515957380649603,0.308803178284455,0.515957380649603,0.207154202365148,0.8,0.6815,0.8,0.1185
"scare-weak","unrelated",NA,0.373209538183408,0.688608156733583,0.315398618550175,NA,0.625,0.8,0.175
"medical-psychological","related",0.361796156189671,0.231097947744589,0.361796156189671,0.130698208445082,0.704,0.598,0.704,0.106
"avenue-street","related",0.505254206853273,0.238028162502135,0.505254206853273,0.267226044351138,0.85,0.738,0.85,0.112
"grateful-thank","related",0.513049007313133,0.216283657514783,0.513049007313133,0.29676534979835,0.7975,0.7975,0.7975,0
"impossible-easy","related",0.407204553945092,0.20886944041562,0.407204553945092,0.198335113529472,0,-0.05,0,0.05
"clean-wash","related",0.57804848533348,0.237326071890804,0.57804848533348,0.340722413442676,0.8115,0.7065,0.8115,0.105
"trust-believe","related",0.493202785696841,0.281191532681813,0.493202785696841,0.212011253015028,0.777,0.5995,0.777,0.1775
"unusual-strange","related",0.722913708693854,0.496980258114135,0.722913708693854,0.225933450579719,0.8115,0.8115,0.8115,0
"loyalty-honesty","related",0.493762008405116,0.243816354660713,0.493762008405116,0.249945653744403,0.6035,0.4475,0.6035,0.156
"producer-director","related",0.652902855332922,0.341135404441105,0.652902855332922,0.311767450891817,0.806,0.694,0.806,0.112
"anonymous-unknown","related",0.648138280939177,0.349938337660002,0.648138280939177,0.298199943279175,0.8165,0.7165,0.8165,0.1
"lipstick-concentrate","unrelated",NA,0.318041411625609,0.505651946313511,0.187610534687902,NA,0.6425,0.75,0.1075
"good-completely","unrelated",NA,0.369666399062285,0.66125873167802,0.291592332615735,NA,0.861,0.861,0
"royal-price","unrelated",NA,0.275919200731191,0.570294783101082,0.294375582369891,NA,0.425,0.8,0.375
"tired-hungry","related",0.482966608636759,0.275499863600544,0.482966608636759,0.207466745036215,0.2525,0.2525,0.2525,0
"similar-different","related",0.652073610796027,0.324714050657366,0.652073610796027,0.327359560138661,0.1125,0.1125,0.1125,0
"spy-traitor","related",0.416661948211773,0.277520116932469,0.416661948211773,0.139141831279304,0.752,0.707,0.752,0.045
"grab-science","unrelated",NA,0.350230885478551,0.572536489656782,0.222305604178231,NA,0.8,0.85,0.05
"make-do","related",0.571449144886223,0.307229760352401,0.571449144886223,0.264219384533822,0.5,0.5,0.5,0
"drown-wizard","unrelated",NA,0.459176379538236,0.635201354615314,0.176024975077078,NA,0.875,0.875,0
"tournament-pull","unrelated",NA,0.387107197612741,0.698567928117444,0.311460730504703,NA,0.738,0.85,0.112
"bee-remove","unrelated",NA,0.39412583163204,0.622312643494712,0.228186811862672,NA,0.886,0.886,0
"credit-funeral","unrelated",NA,0.360266587866172,0.540469282573245,0.180202694707073,NA,0.8275,0.875,0.0475
"mile-centimeter","related",0.389250558204184,0.254423649775208,0.389250558204184,0.134826908428976,0.8,0.8,0.8,0
"internal-external","related",0.748077499171325,0.473154980640059,0.748077499171325,0.274922518531266,0.251,0.139,0.251,0.112
"nerve-silver","unrelated",NA,0.378589753378497,0.553645340454721,0.175055587076224,NA,0.7625,0.8625,0.1
"rum-far","unrelated",NA,0.226286494066742,0.587622519526909,0.361336025460167,NA,0.075,0.075,0
"autograph-photographer","related",0.294673922455167,0.032781466140356,0.294673922455167,0.261892456314811,0.3105,0.262,0.3105,0.0485
"unusual-kill","unrelated",NA,0.125573324661699,0.43403308464046,0.308459759978761,NA,0.725,0.85,0.125
"monument-statue","related",0.702730956271538,0.539752506631822,0.702730956271538,0.162978449639716,0.793,0.687,0.793,0.106
"contain-content","related",0.525450473928091,0.364812113305462,0.525450473928091,0.160638360622629,0.5,0.394,0.5,0.106
"wrong-event","unrelated",NA,0.130424875274993,0.498866429531929,0.368441554256936,NA,0.66,0.8,0.14
"white-driver","unrelated",NA,0.232694790395181,0.518635694516529,0.285940904121348,NA,0.637,0.743,0.106
"sensor-crisis","unrelated",NA,0.263541174459684,0.485832378247021,0.222291203787337,NA,0.654,0.754,0.1
"dramatic-romantic","related",0.463657655860916,0.207705945393468,0.463657655860916,0.255951710467448,0.714,0.608,0.714,0.106
"conference-meeting","related",0.775195786762225,0.490641996904763,0.775195786762225,0.284553789857462,0.8585,0.715,0.8585,0.1435
"enable-provide","related",0.603698976197874,0.294044262658354,0.603698976197874,0.30965471353952,0.698,0.698,0.698,0
"generator-execution","unrelated",NA,-0.063235176657672,0.332075634263479,0.395310810921151,NA,0.614,0.8375,0.2235
"relative-cousin","related",0.485799420066059,0.271485557841218,0.485799420066059,0.214313862224841,0.8,0.5975,0.8,0.2025
"passenger-sound","unrelated",NA,0.396957270120453,0.635459026670774,0.238501756550321,NA,0.84,0.875,0.035
"pork-meat","related",0.497340700424583,0.265508750927777,0.497340700424583,0.231831949496806,0.875,0.875,0.875,0
"apply-use","related",0.611674288361794,0.349102844318797,0.611674288361794,0.262571444042997,0.8,0.7,0.8,0.1
"deserve-worthy","related",0.478422126220342,0.209237265414184,0.478422126220342,0.269184860806158,0.7465,0.6345,0.7465,0.112
"polite-escape","unrelated",NA,0.272014710978015,0.519970480461778,0.247955769483763,NA,0.92,0.92,0
"regional-local","related",0.552949502814926,0.364545199468883,0.552949502814926,0.188404303346043,0.797,0.6345,0.797,0.1625
"trophy-abduct","unrelated",NA,0.515102268915556,0.718429650084482,0.203327381168926,NA,1,1,0
"chance-dynamite","unrelated",NA,0.148781303903338,0.416091074175621,0.267309770272283,NA,0.775,0.875,0.1
"tear-cut","related",0.390941166892196,0.213042415119651,0.390941166892196,0.177898751772545,0.3125,0.2625,0.3125,0.05
"tower-building","related",0.491582659854959,0.13738977889944,0.491582659854959,0.354192880955519,0.8335,0.7135,0.8335,0.12
"revenge-cotton","unrelated",NA,0.422232277927568,0.531965774751586,0.109733496824018,NA,0.775,0.775,0
"eliminate-worker","unrelated",NA,0.221686134680651,0.445913082175993,0.224226947495342,NA,0.706,0.706,0
"drama-comedy","related",0.613026407986309,0.320083571104287,0.613026407986309,0.292942836882022,0.825,0.7065,0.825,0.1185
"ideal-song","unrelated",NA,0.303606562291054,0.522486528438601,0.218879966147547,NA,0.684,0.8625,0.1785
"orchestra-band","related",0.426566842545583,0.188748812675905,0.426566842545583,0.237818029869678,0.8475,0.72,0.8475,0.1275
"pulse-pressure","related",0.613496676506802,0.433097898249975,0.613496676506802,0.180398778256827,0.627,0.527,0.627,0.1
"carnival-worthy","unrelated",NA,0.209237265414184,0.478422126220342,0.269184860806158,NA,0.6345,0.7465,0.112
"virus-infection","related",0.533802207546558,0.378425773470731,0.533802207546558,0.155376434075827,0.862,0.8145,0.862,0.0475
"comfortable-horse","unrelated",NA,0.305517973330589,0.545616721943068,0.240098748612479,NA,0.7065,0.825,0.1185
"potato-guilty","unrelated",NA,0.306560354621032,0.546354436159152,0.23979408153812,NA,0.838,0.838,0
"regional-cake","unrelated",NA,0.351580449064314,0.493151589874555,0.141571140810241,NA,0.7755,0.8875,0.112
"orphanage-cause","unrelated",NA,0.444991962082236,0.678879978357748,0.233888016275512,NA,0.693,0.9,0.207
"illusion-additional","unrelated",NA,0.479742085223882,0.736295914901183,0.256553829677301,NA,0.8125,0.8625,0.05
"observation-throne","unrelated",NA,0.274649490831002,0.558116973482479,0.283467482651477,NA,0.744,0.8625,0.1185
"country-description","unrelated",NA,0.296142274331289,0.608015845383543,0.311873571052254,NA,0.5825,0.7885,0.206
"play-fax","unrelated",NA,0.308191205139237,0.547897955961687,0.23970675082245,NA,0.608,0.714,0.106
"sea-episode","unrelated",NA,0.207433969066888,0.553571685383155,0.346137716316267,NA,0.7775,0.8835,0.106
"donkey-horse","related",0.545616721943068,0.305517973330589,0.545616721943068,0.240098748612479,0.825,0.7065,0.825,0.1185
"hanging-execution","related",0.332075634263479,-0.063235176657672,0.332075634263479,0.395310810921151,0.8375,0.614,0.8375,0.2235
"innocent-express","unrelated",NA,0.246624623640254,0.467537232343621,0.220912608703367,NA,0.3495,0.4725,0.123
"spoon-intention","unrelated",NA,0.262663018489667,0.495683183300175,0.233020164810508,NA,0.827,0.827,0
"one-three","related",0.61254122927044,0.374442680484945,0.61254122927044,0.238098548785495,0.156,0,0.156,0.156
"hurricane-disturb","unrelated",NA,0.190044260064924,0.520758600403823,0.330714340338899,NA,0.817,0.817,0
"buy-meeting","unrelated",NA,0.490641996904763,0.775195786762225,0.284553789857462,NA,0.715,0.8585,0.1435
"private-rat","unrelated",NA,0.029099808961615,0.421741141279232,0.392641332317617,NA,0.8725,0.8875,0.015
"gas-fuel","related",0.605300581450872,0.316186627163074,0.605300581450872,0.289113954287798,0.875,0.775,0.875,0.1
"dynasty-empire","related",0.546577819782628,0.297959197833462,0.546577819782628,0.248618621949166,0.782,0.5095,0.782,0.2725
"sometimes-often","related",0.688097894131757,0.363048461123594,0.688097894131757,0.325049433008163,0.8,0.8,0.8,0
"firmly-emotional","unrelated",NA,0.244048269193133,0.516541620810758,0.272493351617625,NA,0.757,0.7945,0.0375
"flee-escape","related",0.519970480461778,0.272014710978015,0.519970480461778,0.247955769483763,0.92,0.92,0.92,0
"support-sail","unrelated",NA,0.026113294849923,0.329977452220706,0.303864157370783,NA,0.5525,0.6645,0.112
"heat-corporation","unrelated",NA,0.519096521348518,0.655425430010215,0.136328908661697,NA,0.8275,0.9,0.0725
"forgiveness-mercy","related",0.511236703991824,0.266962285683768,0.511236703991824,0.244274418308056,0.8875,0.7875,0.8875,0.1
"naturally-billion","unrelated",NA,0.325839172954364,0.596190046747267,0.270350873792903,NA,0.894,0.9,0.006
"exit-entrance","related",0.476739362052853,0.211096422597515,0.476739362052853,0.265642939455338,0.845,0.795,0.845,0.05
"library-cheap","unrelated",NA,0.210257197123896,0.542852680595442,0.332595483471546,NA,0.744,0.85,0.106
"short-massage","unrelated",NA,0.169881473686294,0.38533564771367,0.215454174027376,NA,0.565,0.746,0.181
"glass-stupid","unrelated",NA,0.150892218668064,0.384046545590969,0.233154326922905,NA,0.689,0.689,0
"camp-village","related",0.351273177257362,0.122165017673703,0.351273177257362,0.229108159583659,0.666,0.645,0.666,0.021
"attention-attract","related",0.391869435355206,0.145879050634493,0.391869435355206,0.245990384720713,0.229,0.229,0.229,0
"engineer-voter","unrelated",NA,0.172841346371733,0.413092853168925,0.240251506797192,NA,0.627,0.8,0.173
"influence-triple","unrelated",NA,0.343167325361961,0.560368187900196,0.217200862538235,NA,0.643,0.8055,0.1625
"project-program","related",0.608734617835136,0.239915046608109,0.608734617835136,0.368819571227027,0.7565,0.434,0.7565,0.3225
"ambulance-strawberry","unrelated",NA,0.179322371264239,0.393250301410488,0.213927930146249,NA,0.861,0.861,0
"congratulate-greet","related",0.551091129147602,0.322941622993963,0.551091129147602,0.228149506153639,0.6835,0.6835,0.6835,0
"physics-walk","unrelated",NA,0.324455022512021,0.554065438884318,0.229610416372297,NA,0.702,0.825,0.123
"man-human","related",0.704939376641891,0.536614379834917,0.704939376641891,0.168324996806974,0.9445,0.0945,0.9445,0.85
"back-return","related",0.555113333368815,0.317816318585901,0.555113333368815,0.237297014782914,0.233,0.233,0.233,0
"lemonade-gentle","unrelated",NA,0.343499595098993,0.538514806104445,0.195015211005452,NA,0.8,0.8,0
"explanation-glory","unrelated",NA,0.464238910728536,0.729224441184231,0.264985530455695,NA,0.713,0.825,0.112
"sheriff-mayor","related",0.418418353981351,0.14959292724667,0.418418353981351,0.268825426734681,0.69,0.584,0.69,0.106
"lower-upper","related",0.503484652389502,0.253612351329801,0.503484652389502,0.249872301059701,0.589,0.5815,0.589,0.0075
"mail-fax","related",0.547897955961687,0.308191205139237,0.547897955961687,0.23970675082245,0.714,0.608,0.714,0.106
"turn-patrol","unrelated",NA,0.27268088993182,0.571217128274682,0.298536238342862,NA,0.6685,0.7935,0.125
"birth-still","unrelated",NA,0.175099532917568,0.441955593587178,0.26685606066961,NA,0.019,0.125,0.106
"desk-steel","unrelated",NA,0.115220912753164,0.421256749329654,0.30603583657649,NA,0.4815,0.664,0.1825
"property-heavenly","unrelated",NA,0.071754639609347,0.360347303862222,0.288592664252875,NA,0.3375,0.4495,0.112
"sunset-dawn","related",0.49864212772554,0.240413949911943,0.49864212772554,0.258228177813597,0.825,0.725,0.825,0.1
"lip-cheek","related",0.449693821845826,0.230067810949908,0.449693821845826,0.219626010895918,0.7685,0.743,0.7685,0.0255
"pump-assist","unrelated",NA,0.319236323021098,0.640803977314981,0.321567654293883,NA,0.7885,0.9,0.1115
"normally-dream","unrelated",NA,0.151718056934827,0.485830855128482,0.334112798193655,NA,0.6325,0.8,0.1675
"fool-store","unrelated",NA,0.383467375996109,0.608370556893195,0.224903180897086,NA,0.8525,0.925,0.0725
"absolutely-rob","unrelated",NA,0.165069014824595,0.352566553168435,0.18749753834384,NA,0.9,0.9,0
"agent-western","unrelated",NA,0.193925833347889,0.482195547879636,0.288269714531747,NA,0.011,0.2,0.189
"vagina-division","unrelated",NA,0.293478344808662,0.583476320211607,0.289997975402945,NA,0.7145,0.7145,0
"ufo-alien","related",0.44718070942634,0.238946586525204,0.44718070942634,0.208234122901136,0.811,0.736,0.811,0.075
"exit-liar","unrelated",NA,0.334258285435056,0.567917525941748,0.233659240506692,NA,0.8375,0.8875,0.05
"secretary-artificial","unrelated",NA,0.274158907727488,0.482018225434855,0.207859317707367,NA,0.1515,0.275,0.1235
"future-chew","unrelated",NA,0.429373252958205,0.62721492650511,0.197841673546905,NA,0.1685,0.1685,0
"sword-individual","unrelated",NA,0.483227785191102,0.729761898324173,0.246534113133071,NA,0.794,0.9,0.106
"rifle-letter","unrelated",NA,0.238399856617829,0.472639939196735,0.234240082578906,NA,0.647,0.753,0.106
"nest-last","unrelated",NA,0.137813581525381,0.579457655205049,0.441644073679668,NA,0.1,0.206,0.106
"clearly-obviously","related",0.765999821047003,0.558416247881304,0.765999821047003,0.207583573165699,0.2,0.2,0.2,0
"lasagna-path","unrelated",NA,0.378744450372659,0.635199653923837,0.256455203551178,NA,0.7775,0.825,0.0475
"deserve-specialist","unrelated",NA,0.341738187559709,0.612339933277891,0.270601745718182,NA,0.9,0.9,0
"snail-turtle","related",0.459783696384684,0.191478581329691,0.459783696384684,0.268305115054993,0.532,0.432,0.532,0.1
"coffin-funeral","related",0.540469282573245,0.360266587866172,0.540469282573245,0.180202694707073,0.875,0.8275,0.875,0.0475
"seminar-lecture","related",0.43599047233846,0.21505819224011,0.43599047233846,0.22093228009835,0.845,0.7325,0.845,0.1125
"dna-fingerprint","related",0.318012693477242,0.057930843433626,0.318012693477242,0.260081850043616,0.69,0.69,0.69,0
"simply-catch","unrelated",NA,0.37451255708532,0.647743970150027,0.273231413064707,NA,0.79,0.846,0.056
"inspire-inspiration","related",0.729175674183127,0.51204717977104,0.729175674183127,0.217128494412087,0.8325,0.72,0.8325,0.1125
"cabin-deck","related",0.459470989274372,0.200553069620382,0.459470989274372,0.25891791965399,0.5185,0.4065,0.5185,0.112
"atomic-nuclear","related",0.505879721467739,0.262418623934458,0.505879721467739,0.243461097533281,0.8445,0.7945,0.8445,0.05
"hearing-carpet","unrelated",NA,0.273419298242118,0.54227162589334,0.268852327651222,NA,0.8145,0.8195,0.005
"slave-tornado","unrelated",NA,0.363401742413864,0.585700216871881,0.222298474458017,NA,0.8335,0.8335,0
"eternal-transfer","unrelated",NA,0.344383073627828,0.549023747917875,0.204640674290047,NA,0.6965,0.6965,0
"out-gift","unrelated",NA,0.104699040971568,0.40243377613372,0.297734735162152,NA,0.5265,0.6385,0.112
"scary-creepy","related",0.683602491652595,0.533772654267235,0.683602491652595,0.14982983738536,0.8,0.7775,0.8,0.0225
"sea-ocean","related",0.462589354747083,0.23512310998469,0.462589354747083,0.227466244762393,0.975,0.9,0.975,0.075
"propose-suggest","related",0.572645771408017,0.39226469331776,0.572645771408017,0.180381078090257,0.875,0.875,0.875,0
"financially-financing","related",0.577152603563945,0.448417513258679,0.577152603563945,0.128735090305266,0.775,0.7275,0.775,0.0475
"navigation-kingdom","unrelated",NA,0.235505237708526,0.514054211840247,0.278548974131721,NA,0.7255,0.8375,0.112
"relationship-oil","unrelated",NA,0.217002793537473,0.480121899542517,0.263119106005044,NA,0.713,0.825,0.112
"bring-legal","unrelated",NA,0.409966258777035,0.672096220541306,0.262129961764271,NA,0.844,0.9,0.056
"monkey-gorilla","related",0.539697438224248,0.389401854182237,0.539697438224248,0.150295584042011,0.9,0.9,0.9,0
"victory-knife","unrelated",NA,0.448270731395222,0.648007818485213,0.199737087089991,NA,0.825,0.825,0
"secret-mystery","related",0.470187253922644,0.20005471370722,0.470187253922644,0.270132540215424,0.771,0.642,0.771,0.129
"service-verify","unrelated",NA,0.383058520891448,0.715599103514488,0.33254058262304,NA,0.7115,0.8115,0.1
"disgusting-ugly","related",0.575864631465633,0.347861330633328,0.575864631465633,0.228003300832305,0.752,0.752,0.752,0
"spoon-fork","related",0.395177354798582,-0.111170882442348,0.395177354798582,0.50634823724093,0.875,0.802,0.875,0.073
"two-fast","unrelated",NA,0.325457879841588,0.563581241958439,0.238123362116851,NA,0.1,0.156,0.056
"lipstick-perfume","related",0.413339205092685,0.221827733655349,0.413339205092685,0.191511471437336,0.7525,0.704,0.7525,0.0485
"daily-donation","unrelated",NA,0.383768727653856,0.647807067542967,0.264038339889111,NA,0.707,0.875,0.168
"exciting-directly","unrelated",NA,0.537134931776186,0.707007278411895,0.169872346635709,NA,0.1,0.1,0
"surgeon-doctor","related",0.515700089974342,0.298134741229548,0.515700089974342,0.217565348744794,0.9,0.8215,0.9,0.0785
"soft-gentle","related",0.538514806104445,0.343499595098993,0.538514806104445,0.195015211005452,0.8,0.8,0.8,0
"hope-blue","unrelated",NA,0.25167131370866,0.539738384291319,0.288067070582659,NA,0.00650000000000001,0.1125,0.106
"earthquake-disgusting","unrelated",NA,0.359482476135193,0.546231568196954,0.186749092061761,NA,0.825,0.825,0
"word-sentence","related",0.444385190652227,0.234034758134073,0.444385190652227,0.210350432518154,0.74,0.74,0.74,0
"desert-valley","related",0.437094055118177,0.251148977506338,0.437094055118177,0.185945077611839,0.4275,0.349,0.4275,0.0785
"admire-telephone","unrelated",NA,0.388015521404671,0.546308628037634,0.158293106632963,NA,0.8665,0.8665,0
"waste-trial","unrelated",NA,0.058332325067099,0.355501405039167,0.297169079972068,NA,0.074,0.205,0.131
"trash-garbage","related",0.594070900964478,0.369921201437543,0.594070900964478,0.224149699526935,1,0.925,1,0.075
"quantity-go","unrelated",NA,0.157018024552149,0.485399978233855,0.328381953681706,NA,0.489,0.589,0.1
"opposite-contrary","related",0.735552239210346,0.556666985181663,0.735552239210346,0.178885254028683,0.8,0.694,0.8,0.106
"shower-failure","unrelated",NA,0.38315439209966,0.597581590565912,0.214427198466252,NA,0.7515,0.777,0.0255
"hurricane-tornado","related",0.585700216871881,0.363401742413864,0.585700216871881,0.222298474458017,0.8335,0.8335,0.8335,0
"technical-venus","unrelated",NA,0.219740291680235,0.397682625265945,0.17794233358571,NA,0.7065,0.8125,0.106
"bone-skull","related",0.405322005875023,0.192204199911015,0.405322005875023,0.213117805964008,0.85,0.744,0.85,0.106
"ill-decade","unrelated",NA,0.479259483266084,0.679408913027227,0.200149429761143,NA,0.8365,0.8365,0
"senior-real","unrelated",NA,0.245613131677111,0.556684256497991,0.31107112482088,NA,0.7375,0.8445,0.107
"preparation-prison","unrelated",NA,-0.017092302624656,0.286597789021991,0.303690091646647,NA,0.685,0.777,0.092
"software-computer","related",0.560193709888459,0.298226730964985,0.560193709888459,0.261966978923474,0.8375,0.8375,0.8375,0
"philosophy-married","unrelated",NA,0.361479252896136,0.510942967235513,0.149463714339377,NA,0.65,0.8,0.15
"elsewhere-somewhere","related",0.534445441037253,0.348301571024391,0.534445441037253,0.186143870012862,0.8445,0.8445,0.8445,0
"competition-championship","related",0.414654241265562,0.158112101607857,0.414654241265562,0.256542139657705,0.836,0.736,0.836,0.1
"mother-paranormal","unrelated",NA,0.533111197549741,0.716106788524998,0.182995590975257,NA,0.775,0.875,0.1
"software-hungry","unrelated",NA,0.275499863600544,0.482966608636759,0.207466745036215,NA,0.2525,0.2525,0
"radio-rabbit","unrelated",NA,0.037726891820567,0.448349467288782,0.410622575468215,NA,0.778,0.8215,0.0435
"popular-famous","related",0.546014201236986,0.244129644229332,0.546014201236986,0.301884557007654,0.825,0.775,0.825,0.05
"expert-vodka","unrelated",NA,0.422669315204593,0.597675118033193,0.1750058028286,NA,0.719,0.825,0.106
"worried-nervous","related",0.467287418089795,0.232043966083239,0.467287418089795,0.235243452006556,0.8625,0.755,0.8625,0.1075
"disgusting-pressure","unrelated",NA,0.433097898249975,0.613496676506802,0.180398778256827,NA,0.527,0.627,0.1
