"pair","type","Only_Related_cosine","DifferenceScore_cosine","Related_score_cosine","Unrelated_score_cosine","Only_Related_Prompt","DifferenceScore_Prompt","Related_score_Prompt","Unrelated_score_Prompt"
"monk-elegant","unrelated",NA,0.290294817544972,0.52896827510976,0.238673457564788,NA,0.6565,0.785,0.1285
"quantity-quality","related",0.501219217834073,0.227965481406713,0.501219217834073,0.27325373642736,0.7495,0.322,0.7495,0.4275
"prey-ugly","unrelated",NA,0.347876560345222,0.575864631465633,0.227988071120411,NA,0.675,0.75,0.075
"hobby-sport","related",0.479035005215665,0.202642894150812,0.479035005215665,0.276392111064853,0.7395,0.3325,0.7395,0.407
"underestimate-microphone","unrelated",NA,0.284679383154759,0.469681365315792,0.185001982161033,NA,0.696,0.746,0.05
"urgent-emergency","related",0.67299829930783,0.438235362120327,0.67299829930783,0.234762937187503,0.8585,0.615,0.8585,0.2435
"command-order","related",0.621302806021549,0.366341811043195,0.621302806021549,0.254960994978354,0.8535,0.575,0.8535,0.2785
"original-copy","related",0.423115403091694,0.191012238021334,0.423115403091694,0.23210316507036,0.808,0.6305,0.808,0.1775
"clan-family","related",0.457489343630772,0.20414283206612,0.457489343630772,0.253346511564652,0.845,0.6805,0.845,0.1645
"diamond-jewel","related",0.535569110696178,0.326367102828352,0.535569110696178,0.209202007867826,0.877,0.7655,0.877,0.1115
"property-owner","related",0.515955848800799,0.308813961713669,0.515955848800799,0.20714188708713,0.8425,0.675,0.8425,0.1675
"scare-weak","unrelated",NA,0.373131549429786,0.688584000719699,0.315452451289913,NA,0.584,0.7955,0.2115
"medical-psychological","related",0.36174006794181,0.231041859496728,0.36174006794181,0.130698208445082,0.7535,0.6435,0.7535,0.11
"avenue-street","related",0.505228214683313,0.238002170332175,0.505228214683313,0.267226044351138,0.9105,0.743,0.9105,0.1675
"grateful-thank","related",0.513026002177094,0.216288033851531,0.513026002177094,0.296737968325563,0.8175,0.7115,0.8175,0.106
"impossible-easy","related",0.407089986258988,0.208783867877497,0.407089986258988,0.198306118381491,0.051,-0.109,0.051,0.16
"clean-wash","related",0.578078132440083,0.237403240670525,0.578078132440083,0.340674891769558,0.851,0.7385,0.851,0.1125
"trust-believe","related",0.493153937393584,0.281150400569247,0.493153937393584,0.212003536824337,0.7805,0.5355,0.7805,0.245
"unusual-strange","related",0.722896638150382,0.496975190813156,0.722896638150382,0.225921447337226,0.8745,0.7975,0.8745,0.077
"loyalty-honesty","related",0.493749972454934,0.243761491105017,0.493749972454934,0.249988481349917,0.748,0.518,0.748,0.23
"producer-director","related",0.652925482334502,0.34110559971703,0.652925482334502,0.311819882617472,0.836,0.657,0.836,0.179
"anonymous-unknown","related",0.648138280939177,0.349942179473602,0.648138280939177,0.298196101465575,0.758,0.623,0.758,0.135
"lipstick-concentrate","unrelated",NA,0.318108591779273,0.505673897445724,0.187565305666451,NA,0.6535,0.761,0.1075
"good-completely","unrelated",NA,0.369702422665299,0.661288129121201,0.291585706455902,NA,0.719,0.821,0.102
"royal-price","unrelated",NA,0.27595267091725,0.570294818775283,0.294342147858033,NA,0.484,0.856,0.372
"tired-hungry","related",0.482957506121771,0.275482305950705,0.482957506121771,0.207475200171066,0.6345,0.5535,0.6345,0.081
"similar-different","related",0.652089203327798,0.324754272816808,0.652089203327798,0.32733493051099,0.3735,0.249,0.3735,0.1245
"spy-traitor","related",0.416662896644608,0.277542969909486,0.416662896644608,0.139119926735122,0.74,0.69,0.74,0.05
"grab-science","unrelated",NA,0.35021988859605,0.572525467844101,0.222305579248051,NA,0.722,0.846,0.124
"make-do","related",0.571449144886223,0.307250088131917,0.571449144886223,0.264199056754306,0.7735,0.6745,0.7735,0.099
"drown-wizard","unrelated",NA,0.459145248466807,0.635170223543885,0.176024975077078,NA,0.838,0.883,0.045
"tournament-pull","unrelated",NA,0.387125686465497,0.6985864169702,0.311460730504703,NA,0.6585,0.7975,0.139
"bee-remove","unrelated",NA,0.394125475707739,0.622298338588652,0.228172862880913,NA,0.8015,0.874,0.0725
"credit-funeral","unrelated",NA,0.360278121582982,0.540467044029838,0.180188922446856,NA,0.761,0.871,0.11
"mile-centimeter","related",0.389253538218199,0.254452291061088,0.389253538218199,0.134801247157111,0.8495,0.8495,0.8495,0
"internal-external","related",0.748083122031923,0.473188106331972,0.748083122031923,0.274895015699951,0.7585,0.6025,0.7585,0.156
"nerve-silver","unrelated",NA,0.378526058137801,0.553582641631761,0.17505658349396,NA,0.724,0.846,0.122
"rum-far","unrelated",NA,0.226222197167439,0.58761817971974,0.361395982552301,NA,0.1605,0.2605,0.1
"autograph-photographer","related",0.294678299863987,0.0328084152832051,0.294678299863987,0.261869884580782,0.6645,0.5545,0.6645,0.11
"unusual-kill","unrelated",NA,0.12551757214244,0.434003096619494,0.308485524477054,NA,0.6935,0.7995,0.106
"monument-statue","related",0.702731591668705,0.539757551373761,0.702731591668705,0.162974040294944,0.831,0.7085,0.831,0.1225
"contain-content","related",0.525448982988652,0.364789085399721,0.525448982988652,0.160659897588931,0.7975,0.695,0.7975,0.1025
"wrong-event","unrelated",NA,0.130439848893184,0.49888140315012,0.368441554256936,NA,0.4265,0.749,0.3225
"white-driver","unrelated",NA,0.232692906332823,0.518633810454171,0.285940904121348,NA,0.628,0.845,0.217
"sensor-crisis","unrelated",NA,0.263548704993596,0.485846525821082,0.222297820827486,NA,0.5935,0.7985,0.205
"dramatic-romantic","related",0.463616688308196,0.207691569517824,0.463616688308196,0.255925118790372,0.758,0.6825,0.758,0.0755
"conference-meeting","related",0.775195786762225,0.490664082732488,0.775195786762225,0.284531704029737,0.844,0.63,0.844,0.214
"enable-provide","related",0.603686890346379,0.294045437189491,0.603686890346379,0.309641453156888,0.7155,0.6155,0.7155,0.1
"generator-execution","unrelated",NA,-0.063179655501956,0.332079672068434,0.39525932757039,NA,0.639,0.8725,0.2335
"relative-cousin","related",0.485799420066059,0.271503705113515,0.485799420066059,0.214295714952544,0.8625,0.633,0.8625,0.2295
"passenger-sound","unrelated",NA,0.396967790032254,0.635469546582575,0.238501756550321,NA,0.7315,0.909,0.1775
"pork-meat","related",0.497340700424583,0.265508750927777,0.497340700424583,0.231831949496806,0.866,0.8185,0.866,0.0475
"apply-use","related",0.611597173290163,0.349053189392884,0.611597173290163,0.262543983897279,0.747,0.611,0.747,0.136
"deserve-worthy","related",0.478489817147217,0.209290567791007,0.478489817147217,0.26919924935621,0.7625,0.6485,0.7625,0.114
"polite-escape","unrelated",NA,0.272044844410017,0.519977807370182,0.247932962960165,NA,0.782,0.893,0.111
"regional-local","related",0.552949502814926,0.364542701370929,0.552949502814926,0.188406801443997,0.765,0.5525,0.765,0.2125
"trophy-abduct","unrelated",NA,0.515106595745218,0.718414741525057,0.203308145779839,NA,0.904,0.9165,0.0125
"chance-dynamite","unrelated",NA,0.148742049558493,0.416060092132403,0.26731804257391,NA,0.653,0.8625,0.2095
"tear-cut","related",0.390941166892196,0.212970347955862,0.390941166892196,0.177970818936334,0.582,0.498,0.582,0.084
"tower-building","related",0.49166199808998,0.137513310137235,0.49166199808998,0.354148687952745,0.8245,0.5735,0.8245,0.251
"revenge-cotton","unrelated",NA,0.422256754797404,0.531991191460958,0.109734436663554,NA,0.841,0.8445,0.0035
"eliminate-worker","unrelated",NA,0.221692968086803,0.445943650280044,0.224250682193241,NA,0.506,0.752,0.246
"drama-comedy","related",0.613059008641992,0.320159263430829,0.613059008641992,0.292899745211163,0.845,0.6625,0.845,0.1825
"ideal-song","unrelated",NA,0.303614949143802,0.522494915291349,0.218879966147547,NA,0.627,0.872,0.245
"orchestra-band","related",0.426612177382881,0.188762633761023,0.426612177382881,0.237849543621858,0.826,0.641,0.826,0.185
"pulse-pressure","related",0.613586271239867,0.433239393388639,0.613586271239867,0.180346877851228,0.714,0.4965,0.714,0.2175
"carnival-worthy","unrelated",NA,0.209290567791007,0.478489817147217,0.26919924935621,NA,0.6485,0.7625,0.114
"virus-infection","related",0.53377617387818,0.378385132082581,0.53377617387818,0.155391041795599,0.8835,0.822,0.8835,0.0615
"comfortable-horse","unrelated",NA,0.305465428653156,0.545564177265635,0.240098748612479,NA,0.7115,0.8215,0.11
"potato-guilty","unrelated",NA,0.306544726240734,0.546338807778854,0.23979408153812,NA,0.766,0.821,0.055
"regional-cake","unrelated",NA,0.351583447446311,0.493134424365231,0.14155097691892,NA,0.724,0.887,0.163
"orphanage-cause","unrelated",NA,0.445032833163392,0.678940026930995,0.233907193767603,NA,0.5615,0.8615,0.3
"illusion-additional","unrelated",NA,0.480144530243598,0.736291081357954,0.256146551114356,NA,0.7565,0.8625,0.106
"observation-throne","unrelated",NA,0.274619862242907,0.558109063636322,0.283489201393415,NA,0.7555,0.8715,0.116
"country-description","unrelated",NA,0.297227254668108,0.608090111397703,0.310862856729595,NA,0.4475,0.756,0.3085
"play-fax","unrelated",NA,0.308264975272989,0.547897955961687,0.239632980688698,NA,0.616,0.741,0.125
"sea-episode","unrelated",NA,0.207429400934629,0.553567117250896,0.346137716316267,NA,0.771,0.8755,0.1045
"donkey-horse","related",0.545564177265635,0.305465428653156,0.545564177265635,0.240098748612479,0.8215,0.7115,0.8215,0.11
"hanging-execution","related",0.332079672068434,-0.063179655501956,0.332079672068434,0.39525932757039,0.8725,0.639,0.8725,0.2335
"innocent-express","unrelated",NA,0.246637854591376,0.467550463294743,0.220912608703367,NA,0.5585,0.7375,0.179
"spoon-intention","unrelated",NA,0.258064782060572,0.49569555488517,0.237630772824598,NA,0.799,0.8465,0.0475
"one-three","related",0.612569569028531,0.374394766833933,0.612569569028531,0.238174802194598,0.2325,0.021,0.2325,0.2115
"hurricane-disturb","unrelated",NA,0.191476568463633,0.520758600403823,0.32928203194019,NA,0.721,0.846,0.125
"buy-meeting","unrelated",NA,0.490664082732488,0.775195786762225,0.284531704029737,NA,0.63,0.844,0.214
"private-rat","unrelated",NA,0.029104252662574,0.421741141279232,0.392636888616658,NA,0.8195,0.867,0.0475
"gas-fuel","related",0.596234844054188,0.30712088976639,0.596234844054188,0.289113954287798,0.898,0.7795,0.898,0.1185
"dynasty-empire","related",0.546626823865479,0.298023493201204,0.546626823865479,0.248603330664275,0.8225,0.543,0.8225,0.2795
"sometimes-often","related",0.688097894131757,0.363046581123428,0.688097894131757,0.325051313008329,0.7565,0.6565,0.7565,0.1
"firmly-emotional","unrelated",NA,0.244048269193133,0.516541620810758,0.272493351617625,NA,0.5785,0.8085,0.23
"flee-escape","related",0.519977807370182,0.272044844410017,0.519977807370182,0.247932962960165,0.893,0.782,0.893,0.111
"support-sail","unrelated",NA,0.026071495603847,0.329920279477581,0.303848783873734,NA,0.5775,0.781,0.2035
"heat-corporation","unrelated",NA,0.519037665108587,0.655356492595275,0.136318827486688,NA,0.819,0.9015,0.0825
"forgiveness-mercy","related",0.511236703991824,0.267038881754509,0.511236703991824,0.244197822237315,0.8285,0.6585,0.8285,0.17
"naturally-billion","unrelated",NA,0.325817279691177,0.596161551180942,0.270344271489765,NA,0.8065,0.885,0.0785
"exit-entrance","related",0.476739362052853,0.211096422597515,0.476739362052853,0.265642939455338,0.817,0.6945,0.817,0.1225
"library-cheap","unrelated",NA,0.210231956956923,0.542813907530669,0.332581950573746,NA,0.745,0.861,0.116
"short-massage","unrelated",NA,0.169847030174104,0.385318806772091,0.215471776597987,NA,0.3815,0.7695,0.388
"glass-stupid","unrelated",NA,0.150873645902658,0.384067526577375,0.233193880674717,NA,0.5615,0.612,0.0505
"camp-village","related",0.351266573215419,0.122160935321173,0.351266573215419,0.229105637894246,0.664,0.579,0.664,0.085
"attention-attract","related",0.391904832508658,0.145872165981222,0.391904832508658,0.246032666527436,0.654,0.548,0.654,0.106
"engineer-voter","unrelated",NA,0.172896014562131,0.413092853168925,0.240196838606794,NA,0.68,0.849,0.169
"influence-triple","unrelated",NA,0.343160481987947,0.560373857957245,0.217213375969298,NA,0.6115,0.774,0.1625
"project-program","related",0.608727652446954,0.239908081219927,0.608727652446954,0.368819571227027,0.816,0.207,0.816,0.609
"ambulance-strawberry","unrelated",NA,0.186828374198741,0.400730056857412,0.213901682658671,NA,0.753,0.8005,0.0475
"congratulate-greet","related",0.551083712036377,0.322934205882738,0.551083712036377,0.228149506153639,0.746,0.6735,0.746,0.0725
"physics-walk","unrelated",NA,0.324420629834957,0.554027932502208,0.229607302667251,NA,0.734,0.836,0.102
"man-human","related",0.704904952460073,0.536579955653099,0.704904952460073,0.168324996806974,0.9135,0.1015,0.9135,0.812
"back-return","related",0.555115875096534,0.3178036161546,0.555115875096534,0.237312258941934,0.507,0.262,0.507,0.245
"lemonade-gentle","unrelated",NA,0.343552919842207,0.538514806104445,0.194961886262238,NA,0.593,0.758,0.165
"explanation-glory","unrelated",NA,0.464278932033401,0.729224441184231,0.26494550915083,NA,0.699,0.8535,0.1545
"sheriff-mayor","related",0.41840110391497,0.149550831463951,0.41840110391497,0.268850272451019,0.6535,0.535,0.6535,0.1185
"lower-upper","related",0.503484652389502,0.253625621169015,0.503484652389502,0.249859031220487,0.7425,0.637,0.7425,0.1055
"mail-fax","related",0.547897955961687,0.308264975272989,0.547897955961687,0.239632980688698,0.741,0.616,0.741,0.125
"turn-patrol","unrelated",NA,0.272711504752275,0.571238847409513,0.298527342657238,NA,0.5715,0.774,0.2025
"birth-still","unrelated",NA,0.175150841979402,0.441981913855485,0.266831071876083,NA,0.383,0.583,0.2
"desk-steel","unrelated",NA,0.115196858729569,0.421256749329654,0.306059890600085,NA,0.491,0.7385,0.2475
"property-heavenly","unrelated",NA,0.071763309614302,0.360385400446608,0.288622090832306,NA,0.5495,0.707,0.1575
"sunset-dawn","related",0.498703267913542,0.240475090099945,0.498703267913542,0.258228177813597,0.83,0.7285,0.83,0.1015
"lip-cheek","related",0.449694243817246,0.230012086614452,0.449694243817246,0.219682157202794,0.7635,0.6635,0.7635,0.1
"pump-assist","unrelated",NA,0.319272075296359,0.640839729590242,0.321567654293883,NA,0.726,0.9355,0.2095
"normally-dream","unrelated",NA,0.153143916988229,0.485813876170969,0.33266995918274,NA,0.534,0.83,0.296
"fool-store","unrelated",NA,0.383621191127089,0.608476845538573,0.224855654411484,NA,0.769,0.925,0.156
"absolutely-rob","unrelated",NA,0.165013349431946,0.352515051348199,0.187501701916253,NA,0.8655,0.89,0.0245
"agent-western","unrelated",NA,0.193953745390857,0.482225361198311,0.288271615807454,NA,0.4645,0.667,0.2025
"vagina-division","unrelated",NA,0.293557271190265,0.583476320211607,0.289919049021342,NA,0.7075,0.755,0.0475
"ufo-alien","related",0.447246335799018,0.239039103689384,0.447246335799018,0.208207232109634,0.85,0.7675,0.85,0.0825
"exit-liar","unrelated",NA,0.334258285435056,0.567917525941748,0.233659240506692,NA,0.786,0.8585,0.0725
"secretary-artificial","unrelated",NA,0.27417928259531,0.482038600302677,0.207859317707367,NA,0.5655,0.7905,0.225
"future-chew","unrelated",NA,0.429418809651173,0.627242306013897,0.197823496362724,NA,0.248,0.293,0.045
"sword-individual","unrelated",NA,0.483231654288426,0.729761898324173,0.246530244035747,NA,0.7375,0.905,0.1675
"rifle-letter","unrelated",NA,0.238453158684372,0.472692729228846,0.234239570544474,NA,0.692,0.7395,0.0475
"nest-last","unrelated",NA,0.137860814585308,0.579450165578592,0.441589350993284,NA,0.5195,0.6285,0.109
"clearly-obviously","related",0.766057080084971,0.558470862762426,0.766057080084971,0.207586217322545,0.788,0.7155,0.788,0.0725
"lasagna-path","unrelated",NA,0.378763768393161,0.63519727396556,0.256433505572399,NA,0.8015,0.874,0.0725
"deserve-specialist","unrelated",NA,0.341710190250866,0.612350180322415,0.270639990071549,NA,0.6995,0.872,0.1725
"snail-turtle","related",0.459772202507706,0.191488512820124,0.459772202507706,0.268283689687582,0.7275,0.655,0.7275,0.0725
"coffin-funeral","related",0.540467044029838,0.360278121582982,0.540467044029838,0.180188922446856,0.871,0.761,0.871,0.11
"seminar-lecture","related",0.436075368386837,0.215181750513112,0.436075368386837,0.220893617873725,0.855,0.704,0.855,0.151
"dna-fingerprint","related",0.318012693477242,0.057940797862706,0.318012693477242,0.260071895614536,0.765,0.7425,0.765,0.0225
"simply-catch","unrelated",NA,0.36866614268019,0.641911828358514,0.273245685678324,NA,0.698,0.81,0.112
"inspire-inspiration","related",0.729211498112883,0.51208626627474,0.729211498112883,0.217125231838143,0.85,0.694,0.85,0.156
"cabin-deck","related",0.459470989274372,0.200583157645498,0.459470989274372,0.258887831628874,0.7035,0.476,0.7035,0.2275
"atomic-nuclear","related",0.505789770337564,0.262279301716372,0.505789770337564,0.243510468621192,0.872,0.8245,0.872,0.0475
"hearing-carpet","unrelated",NA,0.273419844767232,0.54227162589334,0.268851781126108,NA,0.815,0.8625,0.0475
"slave-tornado","unrelated",NA,0.363439289970813,0.585740214876812,0.222300924905999,NA,0.847,0.873,0.026
"eternal-transfer","unrelated",NA,0.344399617782957,0.549034440468203,0.204634822685246,NA,0.662,0.7575,0.0955
"out-gift","unrelated",NA,0.104687651811282,0.402422386973434,0.297734735162152,NA,0.483,0.708,0.225
"scary-creepy","related",0.682961138645974,0.5331370509151,0.682961138645974,0.149824087730874,0.8695,0.7695,0.8695,0.1
"sea-ocean","related",0.462589354747083,0.23512310998469,0.462589354747083,0.227466244762393,0.955,0.8435,0.955,0.1115
"propose-suggest","related",0.572645771408017,0.392285123129052,0.572645771408017,0.180360648278965,0.87,0.7975,0.87,0.0725
"financially-financing","related",0.577155935076936,0.44842084477167,0.577155935076936,0.128735090305266,0.8655,0.793,0.8655,0.0725
"navigation-kingdom","unrelated",NA,0.235513870776174,0.51403709898035,0.278523228204176,NA,0.6725,0.85,0.1775
"relationship-oil","unrelated",NA,0.216986184112012,0.480034270374501,0.263048086262489,NA,0.6065,0.794,0.1875
"bring-legal","unrelated",NA,0.409983587097119,0.672097468057473,0.262113880960354,NA,0.5715,0.7935,0.222
"monkey-gorilla","related",0.539723914924777,0.389428330882766,0.539723914924777,0.150295584042011,0.873,0.828,0.873,0.045
"victory-knife","unrelated",NA,0.448273804827737,0.647972227458824,0.199698422631087,NA,0.7695,0.857,0.0875
"secret-mystery","related",0.470129497078069,0.199971266063561,0.470129497078069,0.270158231014508,0.859,0.6485,0.859,0.2105
"service-verify","unrelated",NA,0.383065629944873,0.715606212567913,0.33254058262304,NA,0.5765,0.824,0.2475
"disgusting-ugly","related",0.575864631465633,0.347876560345222,0.575864631465633,0.227988071120411,0.75,0.675,0.75,0.075
"spoon-fork","related",0.395112389330493,-0.111235847910437,0.395112389330493,0.50634823724093,0.886,0.779,0.886,0.107
"two-fast","unrelated",NA,0.325418911707302,0.563530767792959,0.238111856085657,NA,0.55,0.7575,0.2075
"lipstick-perfume","related",0.413313221685212,0.221824398760552,0.413313221685212,0.19148882292466,0.754,0.669,0.754,0.085
"daily-donation","unrelated",NA,0.383694709414166,0.647742981776471,0.264048272362305,NA,0.639,0.884,0.245
"exciting-directly","unrelated",NA,0.537116168097198,0.706988514732907,0.169872346635709,NA,0.577,0.677,0.1
"surgeon-doctor","related",0.515729647448884,0.298178172186605,0.515729647448884,0.217551475262279,0.905,0.8285,0.905,0.0765
"soft-gentle","related",0.538514806104445,0.343552919842207,0.538514806104445,0.194961886262238,0.758,0.593,0.758,0.165
"hope-blue","unrelated",NA,0.251705935471352,0.539755493376625,0.288049557905273,NA,0.3295,0.553,0.2235
"earthquake-disgusting","unrelated",NA,0.359515004315737,0.546266699177311,0.186751694861574,NA,0.7425,0.8,0.0575
"word-sentence","related",0.444385190652227,0.234080801200861,0.444385190652227,0.210304389451366,0.7035,0.596,0.7035,0.1075
"desert-valley","related",0.437198830478534,0.251253752866695,0.437198830478534,0.185945077611839,0.605,0.5325,0.605,0.0725
"admire-telephone","unrelated",NA,0.387951088534216,0.546244195167179,0.158293106632963,NA,0.7875,0.8735,0.086
"waste-trial","unrelated",NA,0.058351765789634,0.355501405039167,0.297149639249533,NA,0.338,0.523,0.185
"trash-garbage","related",0.594070900964478,0.369944730035456,0.594070900964478,0.224126170929022,1,0.9125,1,0.0875
"quantity-go","unrelated",NA,0.156996979058993,0.485391115995808,0.328394136936815,NA,0.545,0.7125,0.1675
"opposite-contrary","related",0.735547658557584,0.556659688275766,0.735547658557584,0.178887970281818,0.827,0.712,0.827,0.115
"shower-failure","unrelated",NA,0.383102832030205,0.597541882986478,0.214439050956273,NA,0.711,0.797,0.086
"hurricane-tornado","related",0.585740214876812,0.363439289970813,0.585740214876812,0.222300924905999,0.873,0.847,0.873,0.026
"technical-venus","unrelated",NA,0.219734173669674,0.397646127185644,0.17791195351597,NA,0.7415,0.8765,0.135
"bone-skull","related",0.405322005875023,0.192192459337135,0.405322005875023,0.213129546537888,0.876,0.736,0.876,0.14
"ill-decade","unrelated",NA,0.479203656578215,0.679353086339358,0.200149429761143,NA,0.7945,0.8905,0.096
"senior-real","unrelated",NA,0.245613131677111,0.556684256497991,0.31107112482088,NA,0.6425,0.8485,0.206
"preparation-prison","unrelated",NA,-0.017033033830645,0.286645432536962,0.303678466367607,NA,0.648,0.813,0.165
"software-computer","related",0.560149002989614,0.298122172697616,0.560149002989614,0.262026830291998,0.9005,0.8405,0.9005,0.06
"philosophy-married","unrelated",NA,0.361479252896136,0.510942967235513,0.149463714339377,NA,0.5595,0.735,0.1755
"elsewhere-somewhere","related",0.534445441037253,0.348283567205171,0.534445441037253,0.186161873832082,0.754,0.629,0.754,0.125
"competition-championship","related",0.414556862372038,0.158014722714333,0.414556862372038,0.256542139657705,0.8665,0.7555,0.8665,0.111
"mother-paranormal","unrelated",NA,0.533137582232098,0.716133173207355,0.182995590975257,NA,0.741,0.863,0.122
"software-hungry","unrelated",NA,0.275482305950705,0.482957506121771,0.207475200171066,NA,0.5535,0.6345,0.081
"radio-rabbit","unrelated",NA,0.037826616609702,0.448359021295868,0.410532404686166,NA,0.7535,0.826,0.0725
