"pair","type","mean_cosine_similarity","mean_prompt_similarity"
"similar-different","related",0.652089203327798,0.3735
"spy-traitor","related",0.416662896644608,0.74
"grab-science","unrelated",0.222305579248051,0.124
"make-do","related",0.571449144886223,0.7735
"drown-wizard","unrelated",0.176024975077078,0.045
"tournament-pull","unrelated",0.311460730504703,0.139
"bee-remove","unrelated",0.228172862880913,0.0725
"credit-funeral","unrelated",0.180188922446856,0.11
"mile-centimeter","related",0.389253538218199,0.8495
"internal-external","related",0.748083122031923,0.7585
"nerve-silver","unrelated",0.17505658349396,0.122
"rum-far","unrelated",0.361395982552301,0.1
"autograph-photographer","related",0.294678299863987,0.6645
"unusual-kill","unrelated",0.308485524477054,0.106
"monument-statue","related",0.702731591668705,0.831
"contain-content","related",0.525448982988652,0.7975
"wrong-event","unrelated",0.368441554256936,0.3225
"white-driver","unrelated",0.285940904121348,0.217
"sensor-crisis","unrelated",0.222297820827486,0.205
"dramatic-romantic","related",0.463616688308196,0.758
"conference-meeting","related",0.775195786762225,0.844
"enable-provide","related",0.603686890346379,0.7155
"generator-execution","unrelated",0.39525932757039,0.2335
"relative-cousin","related",0.485799420066059,0.8625
"passenger-sound","unrelated",0.238501756550321,0.1775
"pork-meat","related",0.497340700424583,0.866
"apply-use","related",0.611597173290163,0.747
"deserve-worthy","related",0.478489817147217,0.7625
"polite-escape","unrelated",0.247932962960165,0.111
"regional-local","related",0.552949502814926,0.765
"trophy-abduct","unrelated",0.203308145779839,0.0125
"chance-dynamite","unrelated",0.26731804257391,0.2095
"tear-cut","related",0.390941166892196,0.582
"tower-building","related",0.49166199808998,0.8245
"revenge-cotton","unrelated",0.109734436663554,0.0035
"eliminate-worker","unrelated",0.224250682193241,0.246
"drama-comedy","related",0.613059008641992,0.845
"ideal-song","unrelated",0.218879966147547,0.245
"orchestra-band","related",0.426612177382881,0.826
"pulse-pressure","related",0.613586271239867,0.714
"carnival-worthy","unrelated",0.26919924935621,0.114
"virus-infection","related",0.53377617387818,0.8835
"comfortable-horse","unrelated",0.240098748612479,0.11
"potato-guilty","unrelated",0.23979408153812,0.055
"regional-cake","unrelated",0.14155097691892,0.163
"orphanage-cause","unrelated",0.233907193767603,0.3
"illusion-additional","unrelated",0.256146551114356,0.106
"observation-throne","unrelated",0.283489201393415,0.116
"country-description","unrelated",0.310862856729595,0.3085
"play-fax","unrelated",0.239632980688698,0.125
"sea-episode","unrelated",0.346137716316267,0.1045
"donkey-horse","related",0.545564177265635,0.8215
"hanging-execution","related",0.332079672068434,0.8725
"innocent-express","unrelated",0.220912608703367,0.179
"spoon-intention","unrelated",0.237630772824598,0.0475
"one-three","related",0.612569569028531,0.2325
"hurricane-disturb","unrelated",0.32928203194019,0.125
"buy-meeting","unrelated",0.284531704029737,0.214
"private-rat","unrelated",0.392636888616658,0.0475
"gas-fuel","related",0.596234844054188,0.898
"dynasty-empire","related",0.546626823865479,0.8225
"sometimes-often","related",0.688097894131757,0.7565
"firmly-emotional","unrelated",0.272493351617625,0.23
"flee-escape","related",0.519977807370182,0.893
"support-sail","unrelated",0.303848783873734,0.2035
"heat-corporation","unrelated",0.136318827486688,0.0825
"forgiveness-mercy","related",0.511236703991824,0.8285
"naturally-billion","unrelated",0.270344271489765,0.0785
"exit-entrance","related",0.476739362052853,0.817
"library-cheap","unrelated",0.332581950573746,0.116
"short-massage","unrelated",0.215471776597987,0.388
"glass-stupid","unrelated",0.233193880674717,0.0505
"camp-village","related",0.351266573215419,0.664
"attention-attract","related",0.391904832508658,0.654
"engineer-voter","unrelated",0.240196838606794,0.169
"influence-triple","unrelated",0.217213375969298,0.1625
"project-program","related",0.608727652446954,0.816
"ambulance-strawberry","unrelated",0.213901682658671,0.0475
"congratulate-greet","related",0.551083712036377,0.746
"physics-walk","unrelated",0.229607302667251,0.102
"man-human","related",0.704904952460073,0.9135
"back-return","related",0.555115875096534,0.507
"lemonade-gentle","unrelated",0.194961886262238,0.165
"explanation-glory","unrelated",0.26494550915083,0.1545
"sheriff-mayor","related",0.41840110391497,0.6535
"lower-upper","related",0.503484652389502,0.7425
"mail-fax","related",0.547897955961687,0.741
"turn-patrol","unrelated",0.298527342657238,0.2025
"birth-still","unrelated",0.266831071876083,0.2
"desk-steel","unrelated",0.306059890600085,0.2475
"property-heavenly","unrelated",0.288622090832306,0.1575
"sunset-dawn","related",0.498703267913542,0.83
"lip-cheek","related",0.449694243817246,0.7635
"pump-assist","unrelated",0.321567654293883,0.2095
"normally-dream","unrelated",0.33266995918274,0.296
"fool-store","unrelated",0.224855654411484,0.156
"absolutely-rob","unrelated",0.187501701916253,0.0245
"agent-western","unrelated",0.288271615807454,0.2025
"vagina-division","unrelated",0.289919049021342,0.0475
"ufo-alien","related",0.447246335799018,0.85
"exit-liar","unrelated",0.233659240506692,0.0725
"secretary-artificial","unrelated",0.207859317707367,0.225
"future-chew","unrelated",0.197823496362724,0.045
"sword-individual","unrelated",0.246530244035747,0.1675
"rifle-letter","unrelated",0.234239570544474,0.0475
"nest-last","unrelated",0.441589350993284,0.109
"clearly-obviously","related",0.766057080084971,0.788
"lasagna-path","unrelated",0.256433505572399,0.0725
"deserve-specialist","unrelated",0.270639990071549,0.1725
"snail-turtle","related",0.459772202507706,0.7275
"coffin-funeral","related",0.540467044029838,0.871
"seminar-lecture","related",0.436075368386837,0.855
"dna-fingerprint","related",0.318012693477242,0.765
"simply-catch","unrelated",0.273245685678324,0.112
"inspire-inspiration","related",0.729211498112883,0.85
"cabin-deck","related",0.459470989274372,0.7035
"atomic-nuclear","related",0.505789770337564,0.872
"hearing-carpet","unrelated",0.268851781126108,0.0475
"slave-tornado","unrelated",0.222300924905999,0.026
"eternal-transfer","unrelated",0.204634822685246,0.0955
"out-gift","unrelated",0.297734735162152,0.225
"scary-creepy","related",0.682961138645974,0.8695
"sea-ocean","related",0.462589354747083,0.955
"propose-suggest","related",0.572645771408017,0.87
"financially-financing","related",0.577155935076936,0.8655
"navigation-kingdom","unrelated",0.278523228204176,0.1775
"relationship-oil","unrelated",0.263048086262489,0.1875
"bring-legal","unrelated",0.262113880960354,0.222
"monkey-gorilla","related",0.539723914924777,0.873
"victory-knife","unrelated",0.199698422631087,0.0875
"secret-mystery","related",0.470129497078069,0.859
"service-verify","unrelated",0.33254058262304,0.2475
"disgusting-ugly","related",0.575864631465633,0.75
"spoon-fork","related",0.395112389330493,0.886
"two-fast","unrelated",0.238111856085657,0.2075
"lipstick-perfume","related",0.413313221685212,0.754
"daily-donation","unrelated",0.264048272362305,0.245
"exciting-directly","unrelated",0.169872346635709,0.1
"surgeon-doctor","related",0.515729647448884,0.905
"soft-gentle","related",0.538514806104445,0.758
"hope-blue","unrelated",0.288049557905273,0.2235
"earthquake-disgusting","unrelated",0.186751694861574,0.0575
"word-sentence","related",0.444385190652227,0.7035
"desert-valley","related",0.437198830478534,0.605
"admire-telephone","unrelated",0.158293106632963,0.086
"waste-trial","unrelated",0.297149639249533,0.185
"trash-garbage","related",0.594070900964478,1
"quantity-go","unrelated",0.328394136936815,0.1675
"opposite-contrary","related",0.735547658557584,0.827
"shower-failure","unrelated",0.214439050956273,0.086
"hurricane-tornado","related",0.585740214876812,0.873
"technical-venus","unrelated",0.17791195351597,0.135
"bone-skull","related",0.405322005875023,0.876
"ill-decade","unrelated",0.200149429761143,0.096
"senior-real","unrelated",0.31107112482088,0.206
"preparation-prison","unrelated",0.303678466367607,0.165
"software-computer","related",0.560149002989614,0.9005
"philosophy-married","unrelated",0.149463714339377,0.1755
"elsewhere-somewhere","related",0.534445441037253,0.754
"competition-championship","related",0.414556862372038,0.8665
"mother-paranormal","unrelated",0.182995590975257,0.122
"software-hungry","unrelated",0.207475200171066,0.081
"radio-rabbit","unrelated",0.410532404686166,0.0725
"popular-famous","related",0.546014201236986,0.8735
"expert-vodka","unrelated",0.174984241219716,0.056
"worried-nervous","related",0.467325328801276,0.8485
"disgusting-pressure","unrelated",0.180346877851228,0.2175
"doll-toy","related",0.558876147203552,0.8635
"good-bad","related",0.612197289027116,0.833
"total-complete","related",0.629509491906062,0.8325
"credit-loan","related",0.509934359588149,0.8935
"bomb-explosive","related",0.543289773706187,0.919
"hotel-juliet","unrelated",0.269787112846265,0.1125
"fake-explosion","unrelated",0.204477558557858,0.116
"move-cigar","unrelated",0.273447720673621,0.0725
"elsewhere-criminal","unrelated",0.26386197083284,0.1
"finally-eventually","related",0.493677122771919,0.8125
"anniversary-explosive","unrelated",0.252038952015612,0.0475
"forgive-excuse","related",0.600940629649637,0.819
"guard-horrible","unrelated",0.166488556790757,0.0975
"radar-lunch","unrelated",0.215754493542679,0.0475
"noble-brave","related",0.457913162133006,0.6405
"cinnamon-battalion","unrelated",0.236782336651415,0.003
"revenge-justice","related",0.371456965061564,0.7425
"just-recently","related",0.467327741556717,0.2705
"member-leader","related",0.638482776902737,0.7365
"slow-fast","related",0.563530767792959,0.7575
"ash-dust","related",0.464053781316432,0.8135
"listen-mountain","unrelated",0.226025577509675,0.0785
"witness-testimony","related",0.690134060429683,0.8645
"nobel-prize","related",0.51697340360146,0.99
"secret-civilization","unrelated",0.140322199509712,0.2325
"weight-helicopter","unrelated",0.227513318633704,0.215
"channel-news","related",0.332842033308447,0.746
"bible-lobster","unrelated",0.200368760128475,0.042
"invasion-attack","related",0.507775545943581,0.8455
"channel-stroll","unrelated",0.165308885330976,0.1075
"top-bottom","related",0.739036403462912,0.846
"rest-sleep","related",0.458819922557791,0.8695
"comfortable-pleasant","related",0.550798644141822,0.717
"spinal-abdominal","related",0.43301381699205,0.726
"skirt-dress","related",0.464798813466225,0.8835
"healthy-excuse","unrelated",0.241104677071297,0.107
"push-very","unrelated",0.285694751760855,0
"cover-hide","related",0.555151167312862,0.6595
"value-skull","unrelated",0.213129546537888,0.14
"follow-chase","related",0.406413717148081,0.8385
"monday-tuesday","related",0.662792693766304,0.9225
"steal-rob","related",0.352515051348199,0.89
"big-huge","related",0.82898205534557,0.9185
"frequency-calm","unrelated",0.214866542348506,0.137
"widow-woman","related",0.483484669964673,0.7385
"cocaine-wire","unrelated",0.239515453008869,0.045
"voice-approval","unrelated",0.35662032311994,0.3545
"eye-ear","related",0.649110854124972,0.7675
"proud-excited","related",0.541288738632548,0.5765
"wine-dark","unrelated",0.327119829084426,0.2475
"toilet-sink","related",0.424016795340225,0.831
"agent-detective","related",0.441849137870326,0.744
"trouble-problem","related",0.539845297596727,0.8615
"dig-bury","related",0.362031605890637,0.814
"arrive-come","related",0.556804657808291,0.8485
"open-close","related",0.610427182104413,0.7145
"briefcase-ability","unrelated",0.233248949652778,0.1625
"glass-bottle","related",0.498812023496451,0.8555
"parliament-freeze","unrelated",0.107158423456403,0.1
"suddenly-unexpectedly","related",0.681479840412578,0.8455
"christmas-armory","unrelated",0.142208448402689,0.045
"telescope-cut","unrelated",0.177970818936334,0.084
"seller-joy","unrelated",0.278748417999813,0.134
"humble-modest","related",0.72685642774063,0.846
"surprise-scar","unrelated",0.331580993677928,0.225
"read-write","related",0.571295485585495,0.862
"pocket-alien","unrelated",0.208207232109634,0.0825
"low-high","related",0.638985450424361,0.806
"iron-metal","related",0.668394417219626,0.8855
"quiet-calm","related",0.628548630506289,0.8285
"power-energy","related",0.604504033910728,0.86
"celebrity-star","related",0.428993044964526,0.8735
"character-personality","related",0.520803464979162,0.7585
"cocaine-heroin","related",0.632421924779244,0.925
"question-ask","related",0.632845163491034,0.7885
"extremely-very","related",0.591171776784237,0.747
"inability-unable","related",0.666816522652495,0.825
"consider-think","related",0.731352614007965,0.872
"active-activity","related",0.580044470798946,0.8
"hate-love","related",0.373150033685537,0.8375
"live-survive","related",0.42616478206942,0.743
"south-schedule","unrelated",0.208161495941942,0.1775
"tank-engine","related",0.461896860193178,0.6635
"button-press","related",0.524504760466445,0.752
"arsenal-armory","related",0.345527446391711,0.801
"bear-wolf","related",0.535509650870037,0.6645
"hunger-thirst","related",0.647083107845478,0.758
"carbon-hydrogen","related",0.429329706114177,0.8735
"princess-gather","unrelated",0.233447602851726,0.0735
"late-early","related",0.646263515542406,0.677
"method-technique","related",0.544534614100518,0.8735
"southern-western","related",0.482225361198311,0.667
"manage-chest","unrelated",0.268047843423605,0.1
"warning-audience","unrelated",0.292564573276311,0.232
"article-spirit","unrelated",0.309368824439299,0.161
"what-administrative","unrelated",0.207626193054384,0.15
"reporter-swim","unrelated",0.214923148243763,0.106
"tournament-match","related",0.565343742815024,0.818
"congratulate-animal","unrelated",0.167491039383068,0.025
"interrupt-bruise","unrelated",0.277971922904691,0.107
"competition-oath","unrelated",0.223777693675921,0.1225
"lawyer-dance","unrelated",0.232414100202426,0.0785
"dinner-breakfast","related",0.579972973229814,0.672
"amateur-rear","unrelated",0.259591276487338,0.085
"dude-democracy","unrelated",0.258592606234715,0.1185
"slave-servant","related",0.596935238548012,0.72
"pound-dollar","related",0.530528399849072,0.845
"autograph-subject","unrelated",0.276282530931408,0.23
"text-poem","related",0.372851992605279,0.805
"pride-turkey","unrelated",0.235928387818772,0.1185
"monk-priest","related",0.516516036810542,0.8195
"gallery-drug","unrelated",0.30380483556952,0.1215
"refuse-accept","related",0.419931774308762,0.2125
"producer-north","unrelated",0.248163168779425,0.12
"english-reduce","unrelated",0.220108283927943,0.192
"size-length","related",0.61066081202529,0.783
"ill-sick","related",0.381423852922013,0.925
"forbidden-outcome","unrelated",0.231461024658242,0.215
"okay-yeah","related",0.574279822257665,0.7695
"ring-necklace","related",0.448472854018311,0.8635
"thin-thick","related",0.634116143748212,0.8155
"honey-butter","related",0.526228016153101,0.717
"badge-uniform","related",0.4132628887529,0.77
"arrive-unpleasant","unrelated",0.208183420443388,0.0725
"engagement-fantastic","unrelated",0.205535252745102,0.1185
"climb-funding","unrelated",0.193096766015372,0.1605
"advice-length","unrelated",0.261700635276364,0.134
"dragon-absence","unrelated",0.109549412111972,0.01
"ordinary-signature","unrelated",0.298937431316451,0.2405
"coal-highness","unrelated",0.136798855352717,0.0275
"dramatic-package","unrelated",0.286692634954008,0.125
"urgent-remember","unrelated",0.332037656648376,0.275
"impossible-university","unrelated",0.207452780259963,0.23
"strong-surface","unrelated",0.260065130893653,0.305
"career-lock","unrelated",0.230534879242702,0.1025
"suffer-charming","unrelated",0.181923271944317,0.075
"model-emergency","unrelated",0.234762937187503,0.2435
"capsule-probe","related",0.280188604445813,0.4695
"silent-fishing","unrelated",0.163903985872186,0.075
"shark-password","unrelated",0.242353912402241,5e-04
"farmer-blackmail","unrelated",0.201314619999456,0.031
"layer-let","unrelated",0.474582634487636,0.1225
"helpless-powerless","related",0.768737810035608,0.853
"court-substitute","unrelated",0.310955414736628,0.249
"conservative-toy","unrelated",0.219225898538039,0.101
"bonus-sunday","unrelated",0.326642466366292,0.135
"espionage-black","unrelated",0.182375857108815,0.152
"taxi-modest","unrelated",0.23046488429042,0.0735
"miserable-discussion","unrelated",0.187789865667711,0.1375
"phase-small","unrelated",0.242636317101674,0.224
"goose-duck","related",0.515169933642011,0.8735
"chancellor-president","related",0.473749472817332,0.768
"finger-garage","unrelated",0.278703580488189,0.0845
"atomic-valley","unrelated",0.185945077611839,0.0725
"shine-machine","unrelated",0.194168642203624,0.215
"arrange-organize","related",0.6538193484159,0.842
"punish-race","unrelated",0.259632747710516,0.123
"badge-knew","unrelated",0.286507553570527,0
"wall-fence","related",0.419848656362846,0.7575
"imagination-fleet","unrelated",0.163536679926593,0.0975
"actually-really","related",0.480053765646136,0.7475
"officially-official","related",0.670235929047986,0.757
"beach-coast","related",0.540543225799466,0.87
"chain-rope","related",0.339942713595695,0.848
"dna-scandal","unrelated",0.171224614268971,0.219
"trailer-van","related",0.246745923199515,0.7575
"chaos-bro","unrelated",0.262648068483746,0.1
"ignorance-arrogance","related",0.50895386582451,0.5545
"hair-watson","unrelated",0.184380168845638,0.0525
"climb-jump","related",0.420694024751127,0.737
"radius-perimeter","related",0.450271784680975,0.613
"widow-van","unrelated",0.256236701706453,0.0475
"navigation-communication","related",0.33707324590518,0.6165
"live-ship","unrelated",0.249214333802903,0.0975
"protect-structure","unrelated",0.42060989704354,0.5285
"universe-galaxy","related",0.501413521555681,0.861
"unit-division","related",0.583476320211607,0.755
"dynasty-tell","unrelated",0.274775816030091,0.1
"governor-jacket","unrelated",0.286117404931483,0.05
"expensive-cheap","related",0.542813907530669,0.861
"sensor-transmitter","related",0.376047770537715,0.816
"right-french","unrelated",0.270446750299006,0.234
"honey-calculate","unrelated",0.242734129356528,0
"hunting-fishing","related",0.585527900910771,0.8055
"ridiculous-ear","unrelated",0.217720510959592,0.0475
"unfortunate-something","unrelated",0.297482885776172,0.2
"responsibility-duty","related",0.605215215396139,0.8575
"never-ever","related",0.693245652755946,0.819
"satisfied-happy","related",0.610930511223276,0.866
"superman-batman","related",0.563906141535499,0.921
"shark-fish","related",0.406105702344426,0.885
"report-cap","unrelated",0.309568753328775,0.1475
"gunpowder-dynamite","related",0.416060092132403,0.8625
"sugar-ever","unrelated",0.214584150877644,0.05
"lunar-solar","related",0.51519178882108,0.753
"create-produce","related",0.517310711084908,0.841
"white-black","related",0.551665654546909,0.7575
"normally-usually","related",0.738497457692578,0.801
"million-billion","related",0.596161551180942,0.885
"church-prize","unrelated",0.200418953831227,0.1475
"land-style","unrelated",0.158953167431198,0.2075
"alone-fluid","unrelated",0.20938021533076,0.156
"glasses-hear","unrelated",0.286893135125826,0.1125
"boys-girls","related",0.718709153529932,0.911
"jazz-coast","unrelated",0.238955579840274,0.2075
"majority-vote","related",0.329189896384753,0.8365
"lunar-raccoon","unrelated",0.263219795749293,0.0475
"motive-flower","unrelated",0.180347185335025,0.1
"complaint-city","unrelated",0.218063995597815,0.245
"caliber-bullet","related",0.432432768730119,0.8685
"front-really","unrelated",0.327002017252012,0.0225
"ambassador-insect","unrelated",0.189130692538668,0.05
"jeep-truck","related",0.464257363345822,0.843
"culture-nervous","unrelated",0.235243452006556,0.138
"tasty-fingerprint","unrelated",0.260071895614536,0.0225
"bay-harbor","related",0.426963958705874,0.858
"stick-hammer","related",0.447353479310537,0.654
"nightmare-perfume","unrelated",0.19148882292466,0.085
"dean-wealth","unrelated",0.2798680158168,0.17
"seminar-meat","unrelated",0.231831949496806,0.0475
"naturally-generally","related",0.470288539796435,0.2
"equipment-equip","related",0.752837682175375,0.6205
"follow-circus","unrelated",0.233527498080532,0.087
"therapy-treatment","related",0.605858894912185,0.8625
"mistress-particle","unrelated",0.19583040464561,0.045
"plus-minus","related",0.554701456277723,0.8235
"dessert-cake","related",0.493134424365231,0.887
"blood-urine","related",0.362448620234594,0.746
"budget-funding","related",0.518911513859262,0.8685
"impression-metal","unrelated",0.228097544621301,0.085
"paradise-hell","related",0.40330630647437,0.797
"suicide-signal","unrelated",0.273601335746444,0.07
"blanket-towel","related",0.518999152525617,0.619
"question-devil","unrelated",0.24893829971018,0.0975
"chancellor-technique","unrelated",0.127587926871463,0.215
"pride-dignity","related",0.590232136287143,0.768
"enough-sufficient","related",0.765378907659714,0.903
"propose-gram","unrelated",0.215222985623278,0.0505
"refuge-television","unrelated",0.186148530701408,0.076
"rum-cognac","related",0.246217546449377,0.8615
"marathon-race","related",0.353930294640555,0.872
"compliment-gift","related",0.402422386973434,0.708
"student-definition","unrelated",0.275727988281387,0.3885
"naïve-sip","unrelated",0.173794605482114,0.1125
"rhythm-style","related",0.45115412627287,0.652
"lawyer-prosecutor","related",0.503789024754404,0.846
"cinema-theater","related",0.544272500010412,0.874
"campaign-election","related",0.475786161906291,0.8505
"heat-temperature","related",0.613846089133197,0.883
"poverty-misery","related",0.490789902250482,0.875
"magic-wallet","unrelated",0.323509524499628,0.0725
"narrow-forever","unrelated",0.134214126385872,0.096
"popular-informant","unrelated",0.218052845985918,0.2375
"room-friendship","unrelated",0.272833731536106,0.125
"chain-determination","unrelated",0.178626057645803,0.1635
"operate-surgery","related",0.34036620061049,0.836
"cloth-handkerchief","related",0.481726397624687,0.87
"personal-intimate","related",0.532240900531031,0.7405
"sherlock-battle","unrelated",0.23965187033723,0.1225
"uncle-watch","unrelated",0.308142745153293,0.11
"combat-fight","related",0.778681237670433,0.8915
"capacity-ability","related",0.562289548132131,0.7395
"finance-suspect","unrelated",0.230197760627086,0.165
"spring-fork","unrelated",0.50634823724093,0.107
"africa-america","related",0.511279550001758,0.717
"idea-theory","related",0.599568466413417,0.837
"slow-government","unrelated",0.242865147622465,0.212
"learn-teach","related",0.550856419408279,0.8565
"frequency-signal","related",0.41199813188607,0.5485
"cook-energy","unrelated",0.210318486522058,0.185
"critical-boss","unrelated",0.319019369292224,0.335
"hostage-produce","unrelated",0.20496553091235,0.045
"project-fear","unrelated",0.266067571961621,0.21
"nothing-something","related",0.622031553329903,0.809
"member-ultimate","unrelated",0.358677465861623,0.1155
"compass-map","related",0.484934980937407,0.862
"nail-tooth","related",0.519057113528192,0.5305
"royal-kingdom","related",0.51403709898035,0.85
"mouse-rat","related",0.421741141279232,0.867
"tuna-temperature","unrelated",0.277633048488226,0.1715
"enter-neck","unrelated",0.495793883298811,0.075
"international-world","related",0.447391341773581,0.8615
"lesbian-gay","related",0.546789245274632,0.935
"trouble-senator","unrelated",0.18732535853849,0.2545
"loyal-nuclear","unrelated",0.243510468621192,0.0475
"area-zone","related",0.613985615633091,0.8035
"genius-past","unrelated",0.192417151950722,0.131
"medical-hat","unrelated",0.354885595758686,0.0765
"influence-effect","related",0.508234855551002,0.8485
"extra-painter","unrelated",0.219601042307903,0.1615
"sober-drunk","related",0.601809124043513,0.85
"concrete-steel","related",0.421256749329654,0.7385
"hotel-motel","related",0.532382713019594,0.8495
"arrival-departure","related",0.605223038199128,0.8845
"interrupt-disturb","related",0.520758600403823,0.846
"box-cardinal","unrelated",0.257244594273625,0.116
"forget-remember","related",0.658501298977815,0.889
"fox-repair","unrelated",0.255834663372347,0.1
"church-chapel","related",0.52656957469557,0.8445
"circle-triangle","related",0.636970506810514,0.6585
"third-do","unrelated",0.264199056754306,0.099
"situation-sale","unrelated",0.311001774473694,0.4705
"saturday-product","unrelated",0.266078916497703,0.121
"wall-manipulate","unrelated",0.210080414528914,0.125
"proceed-continue","related",0.614037542251126,0.86
"artifact-cool","unrelated",0.333120081274727,0.1025
"smart-misfortune","unrelated",0.217760551639781,0.084
"pension-salary","related",0.448551636461879,0.755
"poison-statement","unrelated",0.244021772080047,0.1265
"telegram-select","unrelated",0.283534362112392,0.1
"answer-reply","related",0.669404597964681,0.8605
"motive-alibi","related",0.244720247938002,0.6505
"pump-hose","related",0.408993990325898,0.799
"sensational-spectacular","related",0.656180792159516,0.798
"search-butter","unrelated",0.276342299845432,0.0375
"phenomenon-die","unrelated",0.270665650768752,0.106
"beast-animal","related",0.520907929834005,0.872
"chemistry-biology","related",0.548415742699234,0.7825
"drown-swim","related",0.5124212501794,0.7805
"conspiracy-fraud","related",0.44861170320743,0.769
"typical-classic","related",0.448169625675627,0.733
"frog-lizard","related",0.465846580140952,0.742
"road-act","unrelated",0.281494800975511,0.2065
"conflict-dispute","related",0.629334292143953,0.8345
"useless-community","unrelated",0.258866891547108,0.1605
"skirt-investigator","unrelated",0.185008981330711,0.111
"power-fever","unrelated",0.254591352830013,0.128
"enough-nation","unrelated",0.280981747738915,0.21
"god-divine","related",0.504386896946905,0.805
"recognize-knew","related",0.423311521099493,0.2335
"ninja-handkerchief","unrelated",0.2564574713892,0.0975
"frog-bedroom","unrelated",0.142509403535185,0.076
"kidney-liver","related",0.605560443431617,0.8375
"prevent-orange","unrelated",0.238658317101738,0.025
"revelation-crime","unrelated",0.301557242525831,0.236
"single-position","unrelated",0.289391626171214,0.383
"earthquake-explosion","related",0.462640450408208,0.698
"bomb-famous","unrelated",0.301852286822609,0.131
"green-dignity","unrelated",0.137934554706693,0.1175
"company-interesting","unrelated",0.315799943522841,0.15
"risky-dangerous","related",0.641286538934658,0.8735
"bush-test","unrelated",0.246904585599683,0.118
"donkey-cigarette","unrelated",0.234141758238755,0.03
"fool-idiot","related",0.632184844150934,0.8885
"mental-emotional","related",0.516541620810758,0.8085
"month-fighter","unrelated",0.193046537546021,0.104
