"pair","type","cosine_similarity","prompt_similarity"
"clan-family","related",0.457388941537351,0.75
"diamond-jewel","related",0.535569966374542,0.85
"property-owner","related",0.515957380649603,0.8
"scare-weak","unrelated",0.315452451289913,0.15
"medical-psychological","related",0.361791519853102,0.754
"avenue-street","related",0.505271962306577,0.8
"grateful-thank","related",0.513049007313133,0.845
"impossible-easy","related",0.407194648669891,0
"clean-wash","related",0.578078132440083,0.823
"trust-believe","related",0.493202785696841,0.8
"unusual-strange","related",0.722896638150382,0.8
"loyalty-honesty","related",0.493762008405116,0.553
"producer-director","related",0.652925358949108,0.812
"anonymous-unknown","related",0.648138280939177,0.8
"lipstick-concentrate","unrelated",0.187628898849432,0.112
"good-completely","unrelated",0.291592332615735,0
"royal-price","unrelated",0.294375228542596,0.25
"tired-hungry","related",0.482957506121771,0.3
"similar-different","related",0.652058018264256,0.1
"spy-traitor","related",0.416660999778939,0.75
"grab-science","unrelated",0.222305629108411,0
"make-do","related",0.571449144886223,0.5
"drown-wizard","unrelated",0.176026656820525,0
"tournament-pull","unrelated",0.311460730504703,0.112
"bee-remove","unrelated",0.228189481615321,0
"credit-funeral","unrelated",0.180188922446856,0.045
"mile-centimeter","related",0.389232263786024,0.8
"internal-external","related",0.748013808942564,0.202
"nerve-silver","unrelated",0.175077318488707,0.1
"rum-far","unrelated",0.361333394875951,0
"autograph-photographer","related",0.294649406692898,0.345
"unusual-kill","unrelated",0.308458919099608,0.1
"monument-statue","related",0.702730956271538,0.786
"contain-content","related",0.525407314045027,0.5
"wrong-event","unrelated",0.368441554256936,0.15
"white-driver","unrelated",0.285940904121348,0.1
"sensor-crisis","unrelated",0.222297820827486,0.1
"dramatic-romantic","related",0.463616688308196,0.75
"conference-meeting","related",0.775195786762225,0.867
"enable-provide","related",0.603725636425974,0.6
"generator-execution","unrelated",0.395271801292167,0.227
"relative-cousin","related",0.485799420066059,0.8
"passenger-sound","unrelated",0.238498597716594,0.045
"pork-meat","related",0.497340700424583,0.85
"apply-use","related",0.611688797647761,0.8
"deserve-worthy","related",0.478409515639678,0.743
"polite-escape","unrelated",0.247955769483763,0
"regional-local","related",0.552949502814926,0.844
"trophy-abduct","unrelated",0.203327381168926,0
"chance-dynamite","unrelated",0.267301497970655,0.1
"tear-cut","related",0.390941166892196,0.325
"tower-building","related",0.49166199808998,0.8
"revenge-cotton","unrelated",0.109734436663554,0
"eliminate-worker","unrelated",0.224203212797444,0
"drama-comedy","related",0.612993807330625,0.85
"ideal-song","unrelated",0.218879966147547,0.215
"orchestra-band","related",0.426547696136241,0.845
"pulse-pressure","related",0.613497134460528,0.6
"carnival-worthy","unrelated",0.26919924935621,0.112
"virus-infection","related",0.533828241214936,0.874
"comfortable-horse","unrelated",0.240098748612479,0.112
"potato-guilty","unrelated",0.23979408153812,0
"regional-cake","unrelated",0.141560839930459,0.112
"orphanage-cause","unrelated",0.233899569693341,0.2
"illusion-additional","unrelated",0.256553829677301,0
"observation-throne","unrelated",0.283479341590585,0.125
"country-description","unrelated",0.311882891568376,0.2
"play-fax","unrelated",0.239722469040441,0.1
"sea-episode","unrelated",0.346137716316267,0.1
"donkey-horse","related",0.545616721943068,0.85
"hanging-execution","related",0.332075634263479,0.8
"innocent-express","unrelated",0.220888812307407,0.112
"spoon-intention","unrelated",0.23769112329116,0
"one-three","related",0.612512889512348,0.2
"hurricane-disturb","unrelated",0.332097059011007,0
"buy-meeting","unrelated",0.284553789857462,0.112
"private-rat","unrelated",0.392645776018576,0
"gas-fuel","related",0.596234844054188,0.9
"dynasty-empire","related",0.546626823865479,0.8
"sometimes-often","related",0.688096521960324,0.8
"firmly-emotional","unrelated",0.272493351617625,0
"flee-escape","related",0.519967569988751,0.928
"support-sail","unrelated",0.303850032596585,0.112
"heat-corporation","unrelated",0.136347852538175,0.045
"forgiveness-mercy","related",0.511236703991824,0.875
"naturally-billion","unrelated",0.270350873792903,0.012
"exit-entrance","related",0.476739362052853,0.89
"library-cheap","unrelated",0.332609016369346,0.1
"short-massage","unrelated",0.215454174027376,0.25
"glass-stupid","unrelated",0.23311897318178,0
"camp-village","related",0.351266573215419,0.654
"attention-attract","related",0.391904832508658,0.213
"engineer-voter","unrelated",0.240250668867636,0.234
"influence-triple","unrelated",0.217187684251638,0.125
"project-program","related",0.608785386016206,0.759
"ambulance-strawberry","unrelated",0.213927930146249,0
"congratulate-greet","related",0.551083712036377,0.752
"physics-walk","unrelated",0.229613530077343,0.134
"man-human","related",0.704965625287967,0.889
"back-return","related",0.555113333368815,0.221
"lemonade-gentle","unrelated",0.194961886262238,0
"explanation-glory","unrelated",0.26494550915083,0.112
"sheriff-mayor","related",0.41840110391497,0.654
"lower-upper","related",0.503484652389502,0.678
"mail-fax","related",0.547897955961687,0.678
"turn-patrol","unrelated",0.298536238342862,0.125
"birth-still","unrelated",0.266809870579549,0.112
"desk-steel","unrelated",0.306011782552895,0.15
"property-heavenly","unrelated",0.288582884641968,0.112
"sunset-dawn","related",0.498626944428215,0.85
"lip-cheek","related",0.449693821845826,0.794
"pump-assist","unrelated",0.321567654293883,0.112
"normally-dream","unrelated",0.334112798193655,0.215
"fool-store","unrelated",0.224855654411484,0.1
"absolutely-rob","unrelated",0.187519156618902,0
"agent-western","unrelated",0.288327942181686,0.233
"vagina-division","unrelated",0.290013926755371,0
"ufo-alien","related",0.447191376814025,0.8
"exit-liar","unrelated",0.233659240506692,0
"secretary-artificial","unrelated",0.207859317707367,0.112
"future-chew","unrelated",0.197823496362724,0
"sword-individual","unrelated",0.246530244035747,0.1
"rifle-letter","unrelated",0.234239570544474,0.1
"nest-last","unrelated",0.441627574830515,0.112
"clearly-obviously","related",0.766057593792876,0.2
"lasagna-path","unrelated",0.256455203551178,0.05
"deserve-specialist","unrelated",0.270601745718182,0
"snail-turtle","related",0.459772202507706,0.5
"coffin-funeral","related",0.540495714408924,0.9
"seminar-lecture","related",0.43599047233846,0.89
"dna-fingerprint","related",0.318012693477242,0.726
"simply-catch","unrelated",0.273231413064707,0
"inspire-inspiration","related",0.729178018459223,0.8
"cabin-deck","related",0.459470989274372,0.537
"atomic-nuclear","related",0.505920743513369,0.8
"hearing-carpet","unrelated",0.268858167307264,0.01
"slave-tornado","unrelated",0.222298474458017,0
"eternal-transfer","unrelated",0.204646525894848,0
"out-gift","unrelated",0.297734735162152,0.112
"scary-creepy","related",0.68294028624374,0.8
"sea-ocean","related",0.462589354747083,1
"propose-suggest","related",0.572645771408017,0.9
"financially-financing","related",0.577152603563945,0.8
"navigation-kingdom","unrelated",0.278574720059266,0.112
"relationship-oil","unrelated",0.263104387437497,0.112
"bring-legal","unrelated",0.262082941777228,0.112
"monkey-gorilla","related",0.539697438224248,0.9
"victory-knife","unrelated",0.19972244528878,0
"secret-mystery","related",0.470239310995628,0.742
"service-verify","unrelated",0.33254058262304,0
"disgusting-ugly","related",0.575864631465633,0.75
"spoon-fork","related",0.395246547231693,0.9
"two-fast","unrelated",0.238134868148046,0.112
"lipstick-perfume","related",0.413365188500157,0.753
"daily-donation","unrelated",0.264080399195032,0.213
"exciting-directly","unrelated",0.169872346635709,0
"surgeon-doctor","related",0.515681806977801,0.9
"soft-gentle","related",0.538514806104445,0.8
"hope-blue","unrelated",0.288084583260046,0.112
"earthquake-disgusting","unrelated",0.186749092061761,0
"word-sentence","related",0.444385190652227,0.657
"desert-valley","related",0.43698927975782,0.423
"admire-telephone","unrelated",0.158293106632963,0
"waste-trial","unrelated",0.297169079972068,0.112
"trash-garbage","related",0.594070900964478,1
"quantity-go","unrelated",0.328381953681706,0.1
"opposite-contrary","related",0.735547658557584,0.8
"shower-failure","unrelated",0.214427198466252,0.051
"hurricane-tornado","related",0.585740214876812,0.867
"technical-venus","unrelated",0.17794233358571,0.112
"bone-skull","related",0.405314891472598,0.85
"ill-decade","unrelated",0.200149429761143,0
"senior-real","unrelated",0.31107112482088,0.114
"preparation-prison","unrelated",0.303701716925686,0.1
"software-computer","related",0.560149002989614,0.8
"philosophy-married","unrelated",0.149463714339377,0.1
"elsewhere-somewhere","related",0.534445441037253,0.889
"competition-championship","related",0.414654241265562,0.8
"mother-paranormal","unrelated",0.182995590975257,0.1
"software-hungry","unrelated",0.207463943551685,0
"radio-rabbit","unrelated",0.410640760865067,0.05
"popular-famous","related",0.546014201236986,0.85
"expert-vodka","unrelated",0.174984241219716,0.1
"worried-nervous","related",0.467304818327012,0.85
"disgusting-pressure","unrelated",0.180450678662427,0.2
"doll-toy","related",0.558920632621941,0.8
"good-bad","related",0.612197289027116,0
"total-complete","related",0.629424553490161,0.8
"credit-loan","related",0.509926253303022,0.892
"bomb-explosive","related",0.543323023275491,0.9
"hotel-juliet","unrelated",0.269823430246225,0.1
"fake-explosion","unrelated",0.204442137469514,0.1
"move-cigar","unrelated",0.27344824961697,0.05
"elsewhere-criminal","unrelated",0.26386197083284,0.049
"finally-eventually","related",0.49371618280049,0.876
"anniversary-explosive","unrelated",0.251998611831956,0
"forgive-excuse","related",0.600940629649637,0.78
"guard-horrible","unrelated",0.166450237799634,0
"radar-lunch","unrelated",0.215752024277708,0.05
"noble-brave","related",0.457898504265569,0.5
"cinnamon-battalion","unrelated",0.236775375750388,0
"revenge-justice","related",0.37151914128483,0.753
"just-recently","related",0.46733964950142,0
"member-leader","related",0.638438884674361,0.742
"slow-fast","related",0.563600130499985,0.1
"ash-dust","related",0.464032612990591,0.754
"listen-mountain","unrelated",0.226020734011505,0
"witness-testimony","related",0.690129334330287,0.8
"nobel-prize","related",0.516955100994228,1
"secret-civilization","unrelated",0.140322199509712,0.245
"weight-helicopter","unrelated",0.227501686848363,0.075
"channel-news","related",0.332842033308447,0.75
"bible-lobster","unrelated",0.200377935426799,0.05
"invasion-attack","related",0.507775545943581,0.85
"channel-stroll","unrelated",0.165201675823838,0.1
"top-bottom","related",0.739005203037919,0.5
"rest-sleep","related",0.458819922557791,0.8
"comfortable-pleasant","related",0.550842768283892,0.7
"spinal-abdominal","related",0.43301381699205,0.625
"skirt-dress","related",0.464798813466225,0.8
"healthy-excuse","unrelated",0.241098885860405,0
"push-very","unrelated",0.285701484476609,0
"cover-hide","related",0.555050964499334,0.675
"value-skull","unrelated",0.213097402789696,0.1
"follow-chase","related",0.406413717148081,0.8
"monday-tuesday","related",0.66279082298772,0.9
"steal-rob","related",0.352579885843305,0.9
"big-huge","related",0.829008265290652,0.9
"frequency-calm","unrelated",0.214866542348506,0.15
"widow-woman","related",0.483484669964673,0.732
"cocaine-wire","unrelated",0.239546211470951,0.05
"voice-approval","unrelated",0.35662811744391,0.227
"eye-ear","related",0.649116778136451,0.7
"proud-excited","related",0.541289844117829,0.231
"wine-dark","unrelated",0.327181291114998,0.135
"toilet-sink","related",0.423920374649649,0.8
"agent-detective","related",0.441808405839196,0.743
"trouble-problem","related",0.539774383804766,0.875
"dig-bury","related",0.362031605890637,0.8
"arrive-come","related",0.556811888464685,0.8
"open-close","related",0.610444339568315,0.2
"briefcase-ability","unrelated",0.233200050660456,0.1
"glass-bottle","related",0.498812023496451,0.754
"parliament-freeze","unrelated",0.109801707133628,0.045
"suddenly-unexpectedly","related",0.681498419264391,0.85
"christmas-armory","unrelated",0.142208448402689,0.02
"telescope-cut","unrelated",0.177889853104157,0
"seller-joy","unrelated",0.278852258535205,0.05
"humble-modest","related",0.72685642774063,0.845
"surprise-scar","unrelated",0.331580993677928,0.023
"read-write","related",0.571295485585495,0.8
"pocket-alien","unrelated",0.208256680186832,0.05
"low-high","related",0.638985450424361,0.2
"iron-metal","related",0.668398209604972,0.9
"quiet-calm","related",0.628550850204012,0.8
"power-energy","related",0.604562105780895,0.825
"celebrity-star","related",0.42906218547961,0.812
"character-personality","related",0.520727349504726,0.825
"cocaine-heroin","related",0.632407603006519,0.9
"question-ask","related",0.632750648156583,0.8
"extremely-very","related",0.591255884846153,0
"inability-unable","related",0.666816522652495,0.8
"consider-think","related",0.731421117160314,0.8
"active-activity","related",0.58003429396429,0.786
"hate-love","related",0.373186949158222,0.8
"live-survive","related",0.426196965203407,0.85
"south-schedule","unrelated",0.208161495941942,0.1
"tank-engine","related",0.461896860193178,0.678
"button-press","related",0.524398088932373,0.25
"arsenal-armory","related",0.345488722399797,0.857
"bear-wolf","related",0.53560226377576,0.8
"hunger-thirst","related",0.647083107845478,0.8
"carbon-hydrogen","related",0.429392103284629,0.889
"princess-gather","unrelated",0.233447602851726,0.1
"late-early","related",0.646361104778007,0
"method-technique","related",0.544578937660218,0.87
"southern-western","related",0.482125972544221,0.2
"manage-chest","unrelated",0.268069496522202,0
"warning-audience","unrelated",0.292647930918515,0.15
"article-spirit","unrelated",0.309368824439299,0.15
"what-administrative","unrelated",0.207626193054384,0.1
"reporter-swim","unrelated",0.214923148243763,0.059
"tournament-match","related",0.565343742815024,0.844
"congratulate-animal","unrelated",0.167475130611756,0
"interrupt-bruise","unrelated",0.277860739538055,0.045
"competition-oath","unrelated",0.223777379850591,0.112
"lawyer-dance","unrelated",0.232414100202426,0.1
"dinner-breakfast","related",0.579937665137799,0.8
"amateur-rear","unrelated",0.259618042047585,0.118
"dude-democracy","unrelated",0.258612570715863,0.072
"slave-servant","related",0.596951114899945,0.635
"pound-dollar","related",0.530528399849072,0.895
"autograph-subject","unrelated",0.276282530931408,0.214
"text-poem","related",0.372691050577556,0.722
"pride-turkey","unrelated",0.235954008137983,0.05
"monk-priest","related",0.516612638302436,0.85
"gallery-drug","unrelated",0.303767061773169,0.05
"refuse-accept","related",0.419931774308762,0.2
"producer-north","unrelated",0.248230169869886,0.1
"english-reduce","unrelated",0.220108283927943,0
"size-length","related",0.61066081202529,0.8
"ill-sick","related",0.381421470836336,0.9
"forbidden-outcome","unrelated",0.231357460301271,0.112
"okay-yeah","related",0.574179766201269,0.3
"ring-necklace","related",0.44840297044653,0.8
"thin-thick","related",0.634111698341964,0.2
"honey-butter","related",0.526222206201077,0.654
"badge-uniform","related",0.4132628887529,0.756
"arrive-unpleasant","unrelated",0.208190641547564,0
"engagement-fantastic","unrelated",0.205535252745102,0
"climb-funding","unrelated",0.193079336638693,0.1
"advice-length","unrelated",0.261700635276364,0.112
"dragon-absence","unrelated",0.109543760282037,0
"ordinary-signature","unrelated",0.298947085266246,0.215
"coal-highness","unrelated",0.136775111853953,0.1
"dramatic-package","unrelated",0.286701916205837,0.112
"urgent-remember","unrelated",0.332037656648376,0
"impossible-university","unrelated",0.207409192185879,0
"strong-surface","unrelated",0.260065130893653,0.2
"career-lock","unrelated",0.230534879242702,0.1
"suffer-charming","unrelated",0.181978850628329,0
"model-emergency","unrelated",0.234762937187503,0.142
"capsule-probe","related",0.280200900363471,0.312
"silent-fishing","unrelated",0.163838415606485,0
"shark-password","unrelated",0.242388764306404,0
"farmer-blackmail","unrelated",0.201266368941648,0
"layer-let","unrelated",0.474582634487636,0.112
"helpless-powerless","related",0.768737810035608,0.9
"court-substitute","unrelated",0.310955414736628,0.2
"conservative-toy","unrelated",0.219225898538039,0.105
"bonus-sunday","unrelated",0.326642466366292,0.112
"espionage-black","unrelated",0.182375857108815,0.15
"taxi-modest","unrelated",0.23046488429042,0
"miserable-discussion","unrelated",0.187832407618829,0.112
"phase-small","unrelated",0.242449954504212,0.125
"goose-duck","related",0.515169933642011,0.9
"chancellor-president","related",0.473749472817332,0.845
"finger-garage","unrelated",0.278714497492744,0.05
"atomic-valley","unrelated",0.185945077611839,0.112
"shine-machine","unrelated",0.194168642203624,0.112
"arrange-organize","related",0.6538193484159,0.925
"punish-race","unrelated",0.259632747710516,0.112
"badge-knew","unrelated",0.286508991776479,0
"wall-fence","related",0.41986678361706,0.734
"imagination-fleet","unrelated",0.163536679926593,0.15
"actually-really","related",0.480147159613597,0.75
"officially-official","related",0.670220809996719,0.8
"beach-coast","related",0.540543225799466,0.785
"chain-rope","related",0.339914394769552,0.8
"dna-scandal","unrelated",0.17120858054382,0.1
"trailer-van","related",0.246784167332812,0.765
"chaos-bro","unrelated",0.262583334943954,0.1
"ignorance-arrogance","related",0.50895386582451,0.345
"hair-watson","unrelated",0.184350307820702,0
"climb-jump","related",0.420694831720281,0.754
"radius-perimeter","related",0.450265651336158,0.6
"widow-van","unrelated",0.2563238165264,0.05
"navigation-communication","related",0.337082721086061,0.432
"live-ship","unrelated",0.249256186920429,0.1
"protect-structure","unrelated",0.420603080840775,0.234
"universe-galaxy","related",0.501226083587315,0.85
"unit-division","related",0.583476320211607,0.75
"dynasty-tell","unrelated",0.274826024042024,0.112
"governor-jacket","unrelated",0.286151302202624,0.1
"expensive-cheap","related",0.542888247185245,0.9
"sensor-transmitter","related",0.376047770537715,0.8
"right-french","unrelated",0.270446750299006,0.142
"honey-calculate","unrelated",0.242725468950104,0
"hunting-fishing","related",0.585487929474465,0.756
"ridiculous-ear","unrelated",0.217726620899537,0
"unfortunate-something","unrelated",0.297469561624855,0
"responsibility-duty","related",0.605215215396139,0.85
"never-ever","related",0.693290153837805,0
"satisfied-happy","related",0.610930511223276,0.845
"superman-batman","related",0.564082867565566,0.9
"shark-fish","related",0.4061167925396,0.9
"report-cap","unrelated",0.309568753328775,0.112
"gunpowder-dynamite","related",0.416060092132403,0.875
"sugar-ever","unrelated",0.214557748975248,0
"lunar-solar","related",0.515261871106305,0.8
"create-produce","related",0.51734743214911,0.867
"white-black","related",0.551684085095723,0.6
"normally-usually","related",0.738497457692578,0.75
"million-billion","related",0.596163323375078,0.9
"church-prize","unrelated",0.200369343872231,0.112
"land-style","unrelated",0.15891375350921,0.2
"alone-fluid","unrelated",0.209389573199527,0.1
"glasses-hear","unrelated",0.286892553643343,0.112
"boys-girls","related",0.718658741146401,0.9
"jazz-coast","unrelated",0.238920069743365,0.07
"majority-vote","related",0.329189896384753,0.825
"lunar-raccoon","unrelated",0.263200333762466,0.05
"motive-flower","unrelated",0.179618632637024,0
"complaint-city","unrelated",0.218073616823863,0.115
"caliber-bullet","related",0.432432768730119,0.85
"front-really","unrelated",0.327100089658336,0
"ambassador-insect","unrelated",0.18915748347403,0.001
"jeep-truck","related",0.464257363345822,0.85
"culture-nervous","unrelated",0.235243452006556,0.115
"tasty-fingerprint","unrelated",0.260081850043616,0
"bay-harbor","related",0.426857897447658,0.827
"stick-hammer","related",0.447425276037829,0.362
"nightmare-perfume","unrelated",0.19148882292466,0.045
"dean-wealth","unrelated",0.2798680158168,0.1
"seminar-meat","unrelated",0.231831949496806,0
"naturally-generally","related",0.470201059001424,0.112
"equipment-equip","related",0.752966521029375,0.3
"follow-circus","unrelated",0.233569196556144,0
"therapy-treatment","related",0.605858894912185,0.877
"mistress-particle","unrelated",0.195846572033509,0
"plus-minus","related",0.554701456277723,0.5
"dessert-cake","related",0.493134424365231,0.9
"blood-urine","related",0.362448620234594,0.754
"budget-funding","related",0.518895601158981,0.8
"impression-metal","unrelated",0.228092857977094,0.1
"paradise-hell","related",0.40330630647437,0.75
"suicide-signal","unrelated",0.273615305242599,0.05
"blanket-towel","related",0.518972534110619,0.623
"question-devil","unrelated",0.248977222104127,0.1
"chancellor-technique","unrelated",0.127587926871463,0.1
"pride-dignity","related",0.590232136287143,0.8
"enough-sufficient","related",0.765323673927815,1
"propose-gram","unrelated",0.215222985623278,0
"refuge-television","unrelated",0.186108021244176,0.112
"rum-cognac","related",0.246217546449377,0.85
"marathon-race","related",0.341596146962588,0.87
"compliment-gift","related",0.402417785425422,0.654
"student-definition","unrelated",0.275721527585788,0.2
"naïve-sip","unrelated",0.173794605482114,0.1
"rhythm-style","related",0.45115412627287,0.463
"lawyer-prosecutor","related",0.503789024754404,0.8
"cinema-theater","related",0.544272500010412,0.917
"campaign-election","related",0.475783853508976,0.875
"heat-temperature","related",0.613846089133197,0.85
"poverty-misery","related",0.490789902250482,0.863
"magic-wallet","unrelated",0.32345398034351,0.05
"narrow-forever","unrelated",0.134230913184392,0
"popular-informant","unrelated",0.218047126509996,0.122
"room-friendship","unrelated",0.272833731536106,0.112
"chain-determination","unrelated",0.178626057645803,0.112
"operate-surgery","related",0.340449132265366,0.75
"cloth-handkerchief","related",0.481726397624687,0.8
"personal-intimate","related",0.532240900531031,0.75
"sherlock-battle","unrelated",0.239743517475903,0.112
"uncle-watch","unrelated",0.308142745153293,0.1
"combat-fight","related",0.778681237670433,0.9
"capacity-ability","related",0.562289548132131,0.754
"finance-suspect","unrelated",0.230197760627086,0.073
"spring-fork","unrelated",0.50634823724093,0.034
"africa-america","related",0.511399097269107,0.654
"idea-theory","related",0.599581706948028,0.8
"slow-government","unrelated",0.242865147622465,0.1
"learn-teach","related",0.550951837296211,0.8
"frequency-signal","related",0.41199813188607,0.254
"cook-energy","unrelated",0.210318486522058,0.1
"critical-boss","unrelated",0.319019369292224,0.2
"hostage-produce","unrelated",0.20496553091235,0.078
"project-fear","unrelated",0.266095822919901,0.1
"nothing-something","related",0.622022819489822,0.5
"member-ultimate","unrelated",0.358757932105922,0.1
"compass-map","related",0.484883441094124,0.854
"nail-tooth","related",0.519057113528192,0.2
"royal-kingdom","related",0.514071324700144,0.8
"mouse-rat","related",0.421741141279232,0.875
"tuna-temperature","unrelated",0.277685321091021,0.1
"enter-neck","unrelated",0.495618752345747,0
"international-world","related",0.447359523178905,0.738
"lesbian-gay","related",0.546774003459252,0.9
"trouble-senator","unrelated",0.18732535853849,0.112
"loyal-nuclear","unrelated",0.243510468621192,0.1
"area-zone","related",0.613930597865018,0.8
"genius-past","unrelated",0.192417151950722,0.1
"medical-hat","unrelated",0.354894196786169,0.1
"influence-effect","related",0.508234855551002,0.85
"extra-painter","unrelated",0.21957599223563,0.1
"sober-drunk","related",0.601809124043513,0.8
"concrete-steel","related",0.421256749329654,0.728
"hotel-motel","related",0.532382713019594,0.85
"arrival-departure","related",0.605214698032958,0.8
"interrupt-disturb","related",0.520758600403823,0.834
"box-cardinal","unrelated",0.257244594273625,0.112
"forget-remember","related",0.658501298977815,0.9
"fox-repair","unrelated",0.255834663372347,0
"church-chapel","related",0.526587275376151,0.85
"circle-triangle","related",0.636986521070464,0.667
"third-do","unrelated",0.264219384533822,0
"situation-sale","unrelated",0.311024381516704,0.3
"saturday-product","unrelated",0.266078916497703,0.112
"wall-manipulate","unrelated",0.210166813367902,0
"proceed-continue","related",0.614037542251126,0.8
"artifact-cool","unrelated",0.333160153080702,0
"smart-misfortune","unrelated",0.217751319964734,0.134
"pension-salary","related",0.448551636461879,0.834
"poison-statement","unrelated",0.244022840203231,0.112
"telegram-select","unrelated",0.283534362112392,0.112
"answer-reply","related",0.669421952866992,0.857
"motive-alibi","related",0.244694645462458,0.684
"pump-hose","related",0.409054722452986,0.75
"sensational-spectacular","related",0.656176737776462,0.8
"search-butter","unrelated",0.276336171575202,0
"phenomenon-die","unrelated",0.270665650768752,0.137
"beast-animal","related",0.520963788762169,0.9
"chemistry-biology","related",0.548415742699234,0.785
"drown-swim","related",0.5124212501794,0.2
"conspiracy-fraud","related",0.448590901541663,0.758
"typical-classic","related",0.448169625675627,0.652
"frog-lizard","related",0.465899489819346,0.834
"road-act","unrelated",0.281501912287216,0.112
"conflict-dispute","related",0.629417186937289,0.85
"useless-community","unrelated",0.258924788759074,0.1
"skirt-investigator","unrelated",0.18497162849304,0.1
"power-fever","unrelated",0.254525821998572,0.1
"enough-nation","unrelated",0.280955226914597,0.125
"god-divine","related",0.504397005598011,0.823
"recognize-knew","related",0.423311521099493,0.2
"ninja-handkerchief","unrelated",0.256458692779923,0.024
"frog-bedroom","unrelated",0.142509403535185,0.05
"kidney-liver","related",0.605546528210051,0.874
"prevent-orange","unrelated",0.23863089911562,0
"revelation-crime","unrelated",0.301495117550278,0.15
"single-position","unrelated",0.289480483985104,0.2
"earthquake-explosion","related",0.462632675712086,0.5
"bomb-famous","unrelated",0.301916827192699,0
"green-dignity","unrelated",0.137969396509678,0
"company-interesting","unrelated",0.315799943522841,0
"risky-dangerous","related",0.641286538934658,0.875
"bush-test","unrelated",0.246870322169863,0.1
"donkey-cigarette","unrelated",0.234199326725835,0
"fool-idiot","related",0.632156722251978,0.91
"mental-emotional","related",0.516541620810758,0.789
"month-fighter","unrelated",0.19303063801729,0.05
"curse-witch","related",0.368070049679902,0.683
"saturday-sunday","related",0.651284674644103,1
"stand-invest","unrelated",0.384287615131842,0.113
"tablet-pill","related",0.626036498915887,0.756
"run-walk","related",0.553987614492591,0.85
"corner-alley","related",0.549196532134788,0.75
"realize-understand","related",0.600040651577979,0.8
"west-meal","unrelated",0.233018243891799,0
"humble-communication","unrelated",0.256855938408529,0.112
"collect-silence","unrelated",0.264429563142093,0.112
"incident-hug","unrelated",0.217768241552244,0.112
"tool-drunk","unrelated",0.25163303330148,0.1
"compass-pregnancy","unrelated",0.155381266283616,0
"zombie-recently","unrelated",0.215570164809762,0
"pretty-beautiful","related",0.828722558679014,0.9
"exceptional-remarkable","related",0.760077351539449,0.8
"method-magazine","unrelated",0.288457528471312,0.112
"process-turtle","unrelated",0.268283689687582,0.1
"escort-landlord","unrelated",0.406686479280746,0.215
"fair-map","unrelated",0.24210366836888,0.112
