"word","zRTMean_related","zRTMean_unrelated","en_cosine_related","en_cosine_unrelated","zRT_Priming_Effect","RelatedCos","DifferenceCos","A.RelatedPrompt","A.DifferencePrompt","Fb.RelatedPrompt","Fb.DifferencePrompt"
"alley",0.194704970363984,0.244192569824846,0.506774501343967,0.113780641368472,0.049487599460862,0.549184866333587,0.259508090844078,0.7415,0.669,0.7365,0.6975
"alpha",0.0880959327009698,0.225380719531451,0.55159407829008,0.0351593850206581,0.137284786830482,0.247311800768895,-0.00173386229734601,0.2785,0.07,0.175,0.0625
"amazing",-0.37821393465007,-0.35280339035615,0.630607162877927,0.108178720439966,0.02541054429392,0.610220388967795,0.396858687052239,0.827,0.7175,0.775,0.7215
"america",-0.322992042894515,-0.123564068160572,0.528233127936665,0.136705984979648,0.199427974733942,0.511279550001758,0.236889442600815,0.717,0.607,0.5895,0.5145
"amount",-0.197035717421044,-0.25216837053049,0.538584351497461,0.14963886105055,-0.0551326531094453,0.549048764801322,0.335726626493659,0.816,0.691,0.905,0.905
"analysis",0.123476231585635,0.160084977513982,0.457883040558981,0.125118481152398,0.0366087459283475,0.422082816355957,0.266307954262912,0.606,0.475,0.5385,0.4145
"angry",-0.314758553159572,-0.315748664979427,0.552747097174148,0.124767364513997,-0.000990111819855144,0.548859351090835,0.319447461443298,0.831,0.731,0.6485,0.6485
"animal",-0.358274896074235,-0.115717976198516,0.58879158643761,0.0624431586704084,0.242556919875719,0.520907929834005,0.353416890450937,0.872,0.847,0.9,0.9
"ant",-0.159310735856507,0.132523730054006,0.504424930142631,0.0951504136503098,0.291834465910513,0.295484326915263,-0.04146538738391,0.818,0.7705,0.8225,0.8225
"apartment",-0.0988092177139455,-0.0754632288358158,0.688461110358184,0.114955427299571,0.0233459888781297,0.501728180371578,0.277786135526354,0.875,0.7375,0.875,0.794
"appreciate",-0.108872900108285,-0.0525965342421133,0.601250058261769,0.136888004014898,0.0562763658661718,0.658268048858642,0.328927158857009,0.812,0.594,0.8,0.669
"approval",-0.194675912281312,-0.0732668250123758,0.597247056978179,0.147928337826383,0.121409087268936,0.62602205603198,0.26940173291204,0.853,0.4985,0.84,0.6515
"architect",0.202195212972488,0.456711769859425,0.605219429866958,0.144474212933096,0.254516556886937,0.556544661805163,0.254276945692155,0.768,0.558,0.777,0.665
"arm",-0.424777579399744,-0.174838389937635,0.572595558632892,0.111646608802022,0.249939189462109,0.510573697874854,0.087408709156836,0.875,0.74,0.85,0.8
"armor",0.1349971494413,0.235270958777721,0.562977195642746,0.11623254471943,0.100273809336421,0.599491722036619,0.302431614947367,0.874,0.4405,0.8825,0.6765
"armory",0.228457963904614,0.875891538267449,0.549470804951968,0.0980734668081545,0.647433574362835,0.345527446391711,0.203318997989022,0.801,0.756,0.8785,0.846
"army",-0.200835943869664,-0.273659525040365,0.440576779744819,0.0707872485544429,-0.0728235811707011,0.40659150175758,0.267001555379647,0.861,0.8135,0.874,0.799
"around",-0.376047380648855,-0.227200903187118,0.590096654969804,0.14298686657401,0.148846477461736,0.73080501134957,0.290058830956861,0.155,-0.045,0.125,0.069
"arrest",-0.147029979210775,-0.229566956019505,0.377886696027936,0.123023811825099,-0.0825369768087298,0.456711631510928,0.24457212500471,0.7555,0.6705,0.6235,0.6235
"arrogance",0.0574985204786071,0.516316028229816,0.618950556357112,0.0773212846845289,0.458817507751209,0.50895386582451,0.267112552889252,0.5545,0.5095,0.3725,0.3725
"artery",0.515754044915238,0.912335013383515,0.620984142710126,0.107007709102782,0.396580968468277,0.520688572696258,0.285437792362975,0.873,0.8255,0.8875,0.8125
"artificial",0.358751835732358,0.304915604277558,0.486547591223095,0.117913470160072,-0.0538362314548003,0.482038600302677,0.27417928259531,0.7905,0.5655,0.275,0.1515
"artillery",0.821574407223509,0.891485083953104,0.606064891041726,0.0999624156582616,0.0699106767295949,0.437937155067665,0.228929240766494,0.7975,0.69,0.7495,0.7495
"ask",-0.363763252419045,-0.215840899153076,0.559971952473626,0.147887943828073,0.147922353265969,0.632845163491034,0.259123648520059,0.7885,0.582,0.727,0.6085
"assassin",0.453266826350144,0.779812396483666,0.468936390529136,0.0781196228049749,0.326545570133522,0.387910716484371,0.1706417867819,0.833,0.683,0.8375,0.765
"assist",-0.0432465780478565,-0.0478763102866925,0.601310558052706,0.148824115306242,-0.004629732238836,0.640839729590242,0.319272075296359,0.9355,0.726,0.9,0.7885
"assistance",0.0960047889768122,-0.00388274630450939,0.502623542599684,0.149860608661191,-0.0998875352813216,0.555733999754302,0.238184756862347,0.86,0.6735,0.875,0.825
"assistant",-0.284766636402585,0.0110763893828203,0.585232816653774,0.119360508950288,0.295843025785406,0.446724837977759,0.142856627545415,0.8425,0.719,0.849,0.737
"assumption",0.245457640475501,0.212691481150781,0.445613285711911,0.0690448926635355,-0.0327661593247198,0.426699758834107,0.144563353024731,0.649,0.537,0.668,0.5955
"atlantic",-0.0411156586784719,0.361654016259591,0.731946801560162,0.0624778243766852,0.402769674938063,0.581993404742988,0.414300973994101,0.8475,0.7375,0.7945,0.7135
"atmosphere",0.11511039066268,0.300947602986907,0.587638973968251,0.136165500696333,0.185837212324227,0.437919942855186,0.323288189332076,0.754,0.539,0.7875,0.625
"attack",-0.401665780581464,-0.196903307090706,0.564666206784969,0.114157435973448,0.204762473490758,0.507775545943581,0.330219015044662,0.8455,0.778,0.7835,0.735
"attacker",-0.0687263392740475,0.0924509172428832,0.563043077796574,0.0727829951979307,0.161177256516931,0.478429967108302,0.280733025164938,0.8725,0.745,0.8545,0.7735
"attempt",-0.237768657027316,-0.215456660946007,0.586404582228287,0.0896079600833037,0.0223119960813092,0.705130266346129,0.317684501734111,0.9,0.771,1,0.8875
"attitude",-0.235217785855095,-0.0343584507030487,0.398216164631282,0.0931857665564925,0.200859335152046,0.487075727360223,0.312127818372646,0.745,0.6565,0.7525,0.7225
"attract",-0.226830411742595,-0.231917373749396,0.446378341989188,0.143263596288783,-0.00508696200680031,0.391904832508658,0.145872165981222,0.654,0.548,0.229,0.229
"audience",-0.167454355029049,-0.227229704299034,0.577308597013894,0.0724959202881277,-0.0597753492699853,0.624318376521219,0.331753803244908,0.8535,0.6215,0.8,0.6235
"authority",0.0689015158301021,0.0405782532596497,0.552841314066875,0.133710786257663,-0.0283232625704523,0.4925653207455,0.296229987732446,0.7675,0.664,0.8005,0.7505
"autumn",-0.108453918289614,0.207981405021657,0.661799522506813,0.0984824460840966,0.31643532331127,0.463682794462271,0.234929465816596,0.782,0.663,0.8,0.688
"bacon",-0.173509552967054,-0.232808011473068,0.427285970669101,0.0795246973328395,-0.0592984585060145,0.377854899650501,0.151224175237124,0.8135,0.741,0.838,0.838
"bad",-0.480332693255802,-0.209568106827439,0.719484015125847,0.10888899272354,0.270764586428363,0.612197289027116,0.377761529419748,0.833,0.6005,0,-0.106
"bag",-0.385247008798812,-0.146587450279913,0.598265524083829,0.14086558917448,0.238659558518899,0.510281967342546,0.256849037339476,0.77,0.534,0.7895,0.6835
"bait",0.164228089020985,0.192586389761272,0.52760112235844,0.0990676836171393,0.0283583007402866,0.485754177438391,0.30376585793677,0.873,0.8335,0.8,0.8
"band",-0.275447552603536,-0.183157412392619,0.540667195311199,0.117010766267819,0.0922901402109168,0.426612177382881,0.188762633761023,0.826,0.641,0.8475,0.72
"bar",-0.499170528634254,-0.317229909487791,0.598859561246105,0.119451236407784,0.181940619146463,0.464666351190116,0.10851618736459,0.861,0.686,0.778,0.6995
"baseball",-0.277385313979841,-0.148799920669867,0.418672877209333,0.144534386929658,0.128585393309974,0.366966719564316,0.161133715800767,0.791,0.7435,0.713,0.663
"bathroom",-0.38310349681619,-0.21733802809835,0.655676398060853,0.101437224677761,0.16576546871784,0.573514739330471,0.322475595279877,0.8615,0.8075,0.8425,0.7815
"batman",-0.21436026165231,0.00438560470087333,0.694300670331197,0.141263576014551,0.218745866353184,0.563906141535499,0.319936172281069,0.921,0.846,0.9,0.85
"battalion",1.08282855201485,1.20809647742286,0.742048577324955,0.139637005560679,0.125267925408006,0.641071504281906,0.404289167630491,0.862,0.859,0.85,0.85
"battle",-0.456543874794144,-0.0511977135701638,0.59179332910819,0.0955393697119847,0.40534616122398,0.640843139758898,0.401191269421668,0.9035,0.781,0.8635,0.7575
"battlefield",0.271527977705957,0.387940601005355,0.430520509174199,0.146861796834715,0.116412623299398,0.413186613269426,0.222914308488384,0.7875,0.548,0.666,0.56
"beard",-0.232670872230502,-0.149415860579843,0.633336192259479,0.141776491278879,0.0832550116506597,0.480248141356423,0.23626565988704,0.803,0.753,0.8,0.7715
"beautiful",-0.36595860631594,-0.289165694129824,0.392833142816386,0.0938867027410923,0.0767929121861162,0.828722558679014,0.601342859413458,0.9175,0.796,0.9,0.9
"beauty",-0.445023925467228,-0.382386478297425,0.513780119657705,0.149256324256795,0.062637447169803,0.502539220225149,0.281832600964148,0.756,0.6105,0.747,0.617
"bed",-0.37997430347817,-0.317161251963296,0.591540239525182,0.0790995758869937,0.0628130515148738,0.463645002832684,0.357214488825679,0.85,0.8,0.825,0.775
"bedroom",-0.304989975267939,-0.229465224772058,0.684741352916397,0.139990926409503,0.0755247504958808,0.551466367553207,0.408956964018022,0.884,0.808,0.871,0.84
"beer",-0.418985881855268,-0.491494735524114,0.65776696962484,0.142721074264627,-0.072508853668846,0.567335250653717,0.267252924377598,0.875,0.2125,0.8725,0.494
"believe",-0.426085824092962,-0.387308378322931,0.497164561734823,0.135888165076682,0.0387774457700317,0.493153937393584,0.281150400569247,0.7805,0.5355,0.777,0.5995
"billion",-0.534397807338477,0.0420973657681809,0.848476391701276,0.0820927681215639,0.576495173106658,0.596161551180942,0.325817279691177,0.885,0.8065,0.9,0.894
"biological",-0.0604904298567454,0.126081101527348,0.565618107998728,0.132595768934005,0.186571531384094,0.402710522948446,0.293164936293321,0.7485,0.6385,0.72,0.72
"biology",-0.304313834034562,-0.186533340657945,0.723919378200978,0.122562681796372,0.117780493376617,0.548415742699234,0.337511402700938,0.7825,0.71,0.7695,0.722
"bird",-0.310119739214605,-0.277992937493082,0.577183206330856,0.100320617857406,0.032126801721523,0.490876936546706,0.247135468040496,0.4715,0.3655,0.4025,0.4
"birthday",-0.256159445831077,-0.219407181539288,0.692294958839716,0.11457112806595,0.0367522642917885,0.575130755801968,0.309979045026324,0.827,0.752,0.85,0.75
"black",-0.512914809118297,0.220460839507493,0.830503530426691,0.104839599993819,0.733375648625791,0.551665654546909,0.369289797438094,0.7575,0.6055,0.55,0.419
"blackmail",0.161893682774844,0.24633686014613,0.531870769789198,0.135953766217925,0.0844431773712857,0.585351451113382,0.384036831113926,0.8495,0.8185,0.8235,0.8235
"blue",-0.520047592321191,-0.511682817074415,0.6049412886079,0.147372449078231,0.00836477524677681,0.539755493376625,0.251705935471352,0.553,0.3295,0.1125,0.00650000000000001
"boat",-0.318137888456238,-0.210375199613021,0.530646930283984,0.124331171590297,0.107762688843218,0.48915252819234,0.229990406514428,0.768,0.713,0.8185,0.8185
"book",-0.440770742108382,-0.358587264975825,0.511250847198738,0.132221678512287,0.0821834771325577,0.489740082491397,0.276215752866798,0.866,0.7835,0.8375,0.7875
"boss",-0.335588063813564,-0.251064050767287,0.516780478125321,0.100224072587753,0.0845240130462762,0.635761040742835,0.316741671450611,0.875,0.54,0.8375,0.679
"boston",-0.0024230410635523,0.287781418864244,0.541811115590211,0.123625157735202,0.290204459927796,0.410371848930198,0.187338084648654,0.6375,0.6325,0.6255,0.6255
"bottle",-0.410718488331844,-0.13962274726833,0.582726171999108,0.0825340408696528,0.271095741063514,0.498812023496451,0.168284157327624,0.8555,0.7485,0.783,0.733
"bottom",-0.443855686621341,-0.239786648862373,0.618579508485081,0.125586824065512,0.204069037758968,0.739036403462912,0.35754677938183,0.846,0.68,0.625,0.513
"boy",-0.654247480925702,-0.246279687726299,0.734353952929895,0.110106851276141,0.407967793199403,0.694765434325428,0.447277245876181,0.875,0.7025,0.9,0.9
"brave",-0.409571947203708,-0.38678791216509,0.514358018671248,0.103240842325618,0.0227840350386182,0.457913162133006,0.223454111375855,0.6405,0.483,0.528,0.422
"break",-0.402972223226047,-0.410574329688435,0.534918396471777,0.0683175518969386,-0.00760210646238824,0.503356392659307,0.278295146252688,0.8625,0.655,0.8,0.669
"breakfast",-0.326889158920171,-0.209522929938711,0.68736835061321,0.0869581924949485,0.11736622898146,0.579972973229814,0.444343969345879,0.672,0.6245,0.775,0.775
"bride",-0.470194628957419,-0.180813497050629,0.829068230312692,0.0935523709176954,0.28938113190679,0.5546607108718,0.296648556565834,0.9715,0.8415,0.875,0.769
"bright",-0.287021674786008,-0.326128354010559,0.539588316026618,0.149365124900677,-0.0391066792245506,0.712581688610408,0.511785290211945,0.746,0.6285,0.799,0.799
"bro",-0.308649393250825,0.0166696005141333,0.7448984684786,0.114123140947741,0.325318993764959,0.484148467279675,0.221500398795929,0.857,0.757,0.826,0.726
"brother",-0.491010900251722,-0.267470532435504,0.76723488892897,0.0998028869569136,0.223540367816218,0.752019216220944,0.520968813479092,1,0.874,1,0.8835
"bruise",-0.0320824216435845,0.00662138340091689,0.413702396469296,0.0679186353260286,0.0387038050445014,0.423871825937523,0.145899903032832,0.748,0.641,0.7295,0.682
"build",-0.210170570030015,-0.225946858997831,0.543708005644819,0.0671611477522508,-0.0157762889678154,0.721873514995822,0.459407186569688,0.846,0.6835,0.75,0.644
"building",-0.288967103561569,-0.154710179590247,0.530382005110244,0.121475984443709,0.134256923971321,0.49166199808998,0.137513310137235,0.8245,0.5735,0.8335,0.7135
"bullet",-0.131661523890786,-0.190449968137444,0.4168700430996,0.124175514819735,-0.0587884442466585,0.432432768730119,0.010818215805399,0.8685,0.619,0.8,0.694
"bury",0.229390362227014,0.263707419544372,0.611054826697385,0.00618223079461855,0.0343170573173584,0.362031605890637,0.125144500496051,0.814,0.754,0.8,0.8
"bus",-0.353899097038439,-0.292394660182948,0.713431379398609,0.0851720635759672,0.0615044368554913,0.457624502794655,0.213584610414687,0.7445,0.642,0.7665,0.744
"business",-0.22571306182901,-0.0848677428439903,0.450651025503008,0.124660810212112,0.14084531898502,0.540222997559046,0.237865264472676,0.874,0.699,0.8215,0.7465
"butt",-0.0604439539824531,0.124312926164859,0.803624569134948,0.139895179009997,0.184756880147312,0.48410501446002,0.181228027186528,0.862,0.819,0.825,0.825
"butter",-0.476676559089769,-0.363372382612405,0.433463847286116,0.071778314479217,0.113304176477364,0.526228016153101,0.249885716307669,0.717,0.6795,0.593,0.593
"buyer",-0.31855962026708,0.220648600929105,0.663861697160501,0.130883459333424,0.539208221196185,0.750522619668881,0.49097991389509,0.917,0.8135,0.9,0.8525
"bye",-0.358479548071179,-0.101812228250693,0.554220452277238,0.00670117636560573,0.256667319820487,0.540164665114439,0.311848615351589,0.886,0.886,0.8385,0.8385
"cake",-0.413969778379064,-0.286708515640012,0.625337812576163,0.0506346904727391,0.127261262739052,0.493134424365231,0.351583447446311,0.887,0.724,0.8875,0.7755
"calculate",-0.0948169128140684,0.00816370794119921,0.317770459379579,0.125465107824109,0.102980620755268,0.543628719090476,0.300894589733948,0.6975,0.6975,0.7135,0.7135
"calm",-0.328203326308368,-0.18874490122742,0.63823684690492,0.131425313334776,0.139458425080949,0.628548630506289,0.413682088157783,0.8285,0.6915,0.825,0.694
"camping",-0.104612210419227,-0.140883660757532,0.524948271759679,0.0783362057471039,-0.0362714503383046,0.472318789529256,0.354009658497605,0.7675,0.7195,0.75,0.644
"cancer",-0.389565103301096,-0.26460501048444,0.611050609751314,0.141390118225484,0.124960092816656,0.659406266465105,0.460596003210026,0.9,0.74,0.9,0.9
"candle",-0.333396032686251,-0.137932041247518,0.626595629073084,0.114959480746304,0.195463991438733,0.545797726207205,0.30125914939202,0.848,0.7355,0.75,0.6625
"cap",-0.0374995440918231,-0.153601988489896,0.443367919233266,0.110787790658825,-0.116102444398073,0.321097654111953,0.011528900783178,0.23,0.0825,0.177,0.096
"capitalism",0.14319558836997,0.194092105192219,0.543061830462749,0.0644932274394203,0.0508965168222494,0.336292125616432,0.159830426904602,0.2915,0.109,0.2415,0.0735
"captain",-0.267575365932324,-0.259873362399347,0.653475817414032,0.138663279018708,0.00770200353297623,0.618130929710319,0.39824212051044,0.8585,0.7835,0.8,0.794
"car",-0.450229226445137,-0.526969503408607,0.7334208817757,0.100922103629234,-0.0767402769634705,0.698583367530194,0.344201299682447,0.925,0.819,0.95,0.95
"cardinal",0.250538468376212,0.589604204292804,0.534487890948378,0.135002872453394,0.339065735916592,0.404234509620829,0.146989915347204,0.86,0.744,0.8645,0.7585
"cargo",0.0953866549198003,0.273121606827118,0.508134859271549,0.100055640699304,0.177734951907318,0.551292152759863,0.256389047876644,0.867,0.812,0.8375,0.8375
"carpet",-0.202532503657142,-0.130077057099046,0.550509895648544,0.0977922764405198,0.0724554465580952,0.54227162589334,0.273419844767232,0.8625,0.815,0.8195,0.8145
"cartel",0.69907945733102,0.878687684197878,0.523259478204963,0.127212743101396,0.179608226866858,0.349609572281452,0.132394694266517,0.809,0.764,0.818,0.7705
"castle",-0.257739595262473,-0.132288775280282,0.610541748311154,0.117149225392705,0.125450819982191,0.482365232107867,0.201374968986728,0.8135,0.7125,0.77,0.77
"cat",-0.608294083247191,-0.424495423552004,0.7513527585394,0.133445675883436,0.183798659695187,0.602598804926125,0.37156941231094,0.9115,0.7875,0.887,0.8395
"catch",-0.353434636005483,-0.250121482008258,0.350035941880372,0.116749174851919,0.103313153997226,0.641911828358514,0.36866614268019,0.81,0.698,0.846,0.79
"cause",-0.295354224976746,-0.162536283566211,0.432893248153346,0.11920027027113,0.132817941410535,0.678940026930995,0.445032833163392,0.8615,0.5615,0.9,0.693
"cemetery",0.204033126830533,0.286169915305432,0.603195465847279,0.0224776563116593,0.0821367884748986,0.495671053772044,0.296006501345483,0.881,0.831,0.8605,0.8605
"centimeter",0.426083816443819,0.572621111102712,0.397440955513433,0.106939437735402,0.146537294658893,0.389253538218199,0.254452291061088,0.8495,0.8495,0.8,0.8
"cerebral",0.649372852475299,1.1262952572626,0.643728643649068,0.145171296847457,0.476922404787302,0.523982985487057,0.33482351404239,0.8625,0.7315,0.825,0.694
"ceremony",0.078130536372301,-0.0555224043718357,0.649347198523421,0.139723436532754,-0.133652940744137,0.519905349203293,0.308051480986666,0.8585,0.6985,0.85,0.744
"chair",-0.394057658038841,-0.239163375370499,0.544248774408218,0.104830754842029,0.154894282668342,0.544085514753747,0.308777125544137,0.887,0.6845,0.861,0.73
"challenge",-0.185435678834337,-0.323929233952057,0.433267107145388,0.100159181691534,-0.138493555117719,0.502964813929004,0.276879744254375,0.7595,0.241,0.736,0.536
"champagne",0.0759201198165817,0.349327426358783,0.7074101719385,0.0413453387513488,0.273407306542201,0.518130188691615,0.340825713630017,0.8865,0.8155,0.9,0.875
"championship",0.122201693735537,0.260718676180373,0.554359046049573,0.0915160529273334,0.138516982444837,0.414556862372038,0.158014722714333,0.8665,0.7555,0.836,0.736
"chapel",0.100994996994231,0.3473231895685,0.738190528933025,0.121222382295851,0.246328192574269,0.52656957469557,0.384443224311697,0.8445,0.772,0.861,0.811
"charming",-0.213921599807331,-0.0153460484698394,0.615354876864029,0.126448040946691,0.198575551337492,0.567939740644143,0.386016468699826,0.811,0.736,0.8,0.8
"chase",-0.166158860078813,-0.138900940189656,0.426879732459239,0.123940637492599,0.027257919889157,0.406413717148081,0.200215633430853,0.8385,0.72,0.8,0.694
"cheap",-0.212160621786054,-0.237742408411675,0.573119054390288,0.052214846155529,-0.0255817866256209,0.542813907530669,0.210231956956923,0.861,0.745,0.85,0.744
"cheek",-0.340394765718519,-0.0401788238951161,0.598974117498241,0.10275637520208,0.300215941823403,0.449694243817246,0.230012086614452,0.7635,0.6635,0.7685,0.743
"cheese",-0.415426712829929,-0.37020097926665,0.609897523211714,0.147227841093769,0.0452257335632787,0.436453545951591,0.223237448280154,0.845,0.795,0.837,0.837
"chef",-0.457372048049141,-0.1439504376924,0.594223800685507,0.126059440890497,0.313421610356741,0.551286905247972,0.345189427518639,0.8735,0.637,0.9,0.769
"chest",-0.367445675444893,-0.110386276284842,0.571495893525735,0.0641497349615653,0.25705939916005,0.474879688715261,0.206831845291656,0.23,0.13,0.174,0.174
"chew",-0.15160604744382,0.276216931701411,0.544756181862654,0.0581187274046073,0.427822979145231,0.627242306013897,0.429418809651173,0.293,0.248,0.1685,0.1685
"child",-0.474905080767612,-0.468646828939378,0.641252732634339,0.128027517200405,0.00625825182823431,0.729575945705155,0.450795024458665,0.905,0.6475,0.9,0.794
"childhood",-0.163447504168584,-0.149961921576011,0.489375732923071,0.0468518841925805,0.0134855825925733,0.491561122595914,0.29818151726423,0.886,0.594,0.875,0.646
"chocolate",-0.310557593228422,-0.179375657442637,0.567799184710351,0.140046200112598,0.131181935785785,0.485572192110848,0.271710066041791,0.8365,0.715,0.855,0.7935
"christian",-0.209139913891029,0.316758168208474,0.665243000085029,0.136002295023745,0.525898082099503,0.632519063829168,0.397385296084601,0.8295,0.617,0.8365,0.7055
"cigar",-0.0296778437726688,0.252634572423624,0.537919379805464,0.0803450340682203,0.282312416196292,0.509846170394697,0.236398449721076,0.8485,0.776,0.8385,0.801
"cigarette",-0.1867257996785,-0.0197094586201757,0.577109046772578,0.12630165617476,0.167016341058325,0.621064200776838,0.386922442538083,0.925,0.895,0.9,0.9
"circus",-0.119965564927654,-0.0619683619449085,0.575352295917416,0.139873215366788,0.0579972029827459,0.424830120923037,0.191302622842505,0.728,0.641,0.675,0.65
"city",-0.460379528370365,-0.136409897126878,0.475347606919261,0.139921674217638,0.323969631243487,0.450462691596538,0.232398695998723,0.8845,0.6395,0.8,0.6865
"civilization",0.321172174211619,0.390376381781851,0.601905484906379,0.125479033978041,0.0692042075702314,0.510949950485374,0.370627750975662,0.8095,0.577,0.8535,0.631
"classic",-0.380021085587454,-0.36995470608038,0.538421797323394,0.0860641628262149,0.0100663795070746,0.448169625675627,0.00669097507665201,0.733,0.4545,0.6635,0.581
"client",-0.193376465422088,-0.0849337139556706,0.472100665327525,0.13788258685525,0.108442751466418,0.629296424770532,0.364220647207495,0.748,0.6355,0.696,0.596
"clinic",-0.0514462150716778,0.0111975522880475,0.698179636334589,0.099763500646936,0.0626437673597253,0.652866060529566,0.414324086826406,0.861,0.751,0.85,0.7765
"close",-0.405131700169229,-0.394675658276816,0.463316140116596,0.132361076893917,0.0104560418924131,0.610427182104413,0.43987177785365,0.7145,0.506,0.2,0.144
"closed",-0.215445667613245,-0.237336467761779,0.490636198594734,0.141621109745103,-0.0218908001485343,0.645211372428207,0.497332632230896,0.827,0.727,0.85,0.85
"closet",-0.238897547987607,0.0204167084035993,0.508852454679766,0.126556530331264,0.259314256391207,0.51702140427692,0.358312743297659,0.835,0.79,0.825,0.7965
"closure",-0.17974934236498,0.0496020710882743,0.364123249731085,0.117260744040635,0.229351413453255,0.561076929099726,0.325837452315669,0.832,0.7845,0.732,0.705
"coast",-0.372406118301014,-0.177691793303702,0.548886310139612,0.126269374286208,0.194714324997312,0.540543225799466,0.301587645959192,0.87,0.6625,0.8175,0.7265
