"pair","type","mean_cosine_similarity","mean_prompt_similarity"
"donkey-horse","related",0.545616721943068,0.825
"hanging-execution","related",0.332075634263479,0.8375
"innocent-express","unrelated",0.220912608703367,0.123
"spoon-intention","unrelated",0.233020164810508,0
"one-three","related",0.61254122927044,0.156
"hurricane-disturb","unrelated",0.330714340338899,0
"buy-meeting","unrelated",0.284553789857462,0.1435
"private-rat","unrelated",0.392641332317617,0.015
"gas-fuel","related",0.605300581450872,0.875
"dynasty-empire","related",0.546577819782628,0.782
"sometimes-often","related",0.688097894131757,0.8
"firmly-emotional","unrelated",0.272493351617625,0.0375
"flee-escape","related",0.519970480461778,0.92
"support-sail","unrelated",0.303864157370783,0.112
"heat-corporation","unrelated",0.136328908661697,0.0725
"forgiveness-mercy","related",0.511236703991824,0.8875
"naturally-billion","unrelated",0.270350873792903,0.006
"exit-entrance","related",0.476739362052853,0.845
"library-cheap","unrelated",0.332595483471546,0.106
"short-massage","unrelated",0.215454174027376,0.181
"glass-stupid","unrelated",0.233154326922905,0
"camp-village","related",0.351273177257362,0.666
"attention-attract","related",0.391869435355206,0.229
"engineer-voter","unrelated",0.240251506797192,0.173
"influence-triple","unrelated",0.217200862538235,0.1625
"project-program","related",0.608734617835136,0.7565
"ambulance-strawberry","unrelated",0.213927930146249,0
"congratulate-greet","related",0.551091129147602,0.6835
"physics-walk","unrelated",0.229610416372297,0.123
"man-human","related",0.704939376641891,0.9445
"back-return","related",0.555113333368815,0.233
"lemonade-gentle","unrelated",0.195015211005452,0
"explanation-glory","unrelated",0.264985530455695,0.112
"sheriff-mayor","related",0.418418353981351,0.69
"lower-upper","related",0.503484652389502,0.589
"mail-fax","related",0.547897955961687,0.714
"turn-patrol","unrelated",0.298536238342862,0.125
"birth-still","unrelated",0.26685606066961,0.106
"desk-steel","unrelated",0.30603583657649,0.1825
"property-heavenly","unrelated",0.288592664252875,0.112
"sunset-dawn","related",0.49864212772554,0.825
"lip-cheek","related",0.449693821845826,0.7685
"pump-assist","unrelated",0.321567654293883,0.1115
"normally-dream","unrelated",0.334112798193655,0.1675
"fool-store","unrelated",0.224903180897086,0.0725
"absolutely-rob","unrelated",0.18749753834384,0
"agent-western","unrelated",0.288269714531747,0.189
"vagina-division","unrelated",0.289997975402945,0
"ufo-alien","related",0.44718070942634,0.811
"exit-liar","unrelated",0.233659240506692,0.05
"secretary-artificial","unrelated",0.207859317707367,0.1235
"future-chew","unrelated",0.197841673546905,0
"sword-individual","unrelated",0.246534113133071,0.106
"rifle-letter","unrelated",0.234240082578906,0.106
"nest-last","unrelated",0.441644073679668,0.106
"clearly-obviously","related",0.765999821047003,0.2
"lasagna-path","unrelated",0.256455203551178,0.0475
"deserve-specialist","unrelated",0.270601745718182,0
"snail-turtle","related",0.459783696384684,0.532
"coffin-funeral","related",0.540469282573245,0.875
"seminar-lecture","related",0.43599047233846,0.845
"dna-fingerprint","related",0.318012693477242,0.69
"simply-catch","unrelated",0.273231413064707,0.056
"inspire-inspiration","related",0.729175674183127,0.8325
"cabin-deck","related",0.459470989274372,0.5185
"atomic-nuclear","related",0.505879721467739,0.8445
"hearing-carpet","unrelated",0.268852327651222,0.005
"slave-tornado","unrelated",0.222298474458017,0
"eternal-transfer","unrelated",0.204640674290047,0
"out-gift","unrelated",0.297734735162152,0.112
"scary-creepy","related",0.683602491652595,0.8
"sea-ocean","related",0.462589354747083,0.975
"propose-suggest","related",0.572645771408017,0.875
"financially-financing","related",0.577152603563945,0.775
"navigation-kingdom","unrelated",0.278548974131721,0.112
"relationship-oil","unrelated",0.263119106005044,0.112
"bring-legal","unrelated",0.262129961764271,0.056
"monkey-gorilla","related",0.539697438224248,0.9
"victory-knife","unrelated",0.199737087089991,0
"secret-mystery","related",0.470187253922644,0.771
"service-verify","unrelated",0.33254058262304,0.1
"disgusting-ugly","related",0.575864631465633,0.752
"spoon-fork","related",0.395177354798582,0.875
"two-fast","unrelated",0.238123362116851,0.056
"lipstick-perfume","related",0.413339205092685,0.7525
"daily-donation","unrelated",0.264038339889111,0.168
"exciting-directly","unrelated",0.169872346635709,0
"surgeon-doctor","related",0.515700089974342,0.9
"soft-gentle","related",0.538514806104445,0.8
"hope-blue","unrelated",0.288067070582659,0.106
"earthquake-disgusting","unrelated",0.186749092061761,0
"word-sentence","related",0.444385190652227,0.74
"desert-valley","related",0.437094055118177,0.4275
"admire-telephone","unrelated",0.158293106632963,0
"waste-trial","unrelated",0.297169079972068,0.131
"trash-garbage","related",0.594070900964478,1
"quantity-go","unrelated",0.328381953681706,0.1
"opposite-contrary","related",0.735552239210346,0.8
"shower-failure","unrelated",0.214427198466252,0.0255
"hurricane-tornado","related",0.585700216871881,0.8335
"technical-venus","unrelated",0.17794233358571,0.106
"bone-skull","related",0.405322005875023,0.85
"ill-decade","unrelated",0.200149429761143,0
"senior-real","unrelated",0.31107112482088,0.107
"preparation-prison","unrelated",0.303690091646647,0.092
"software-computer","related",0.560193709888459,0.8375
"philosophy-married","unrelated",0.149463714339377,0.15
"elsewhere-somewhere","related",0.534445441037253,0.8445
"competition-championship","related",0.414654241265562,0.836
"mother-paranormal","unrelated",0.182995590975257,0.1
"software-hungry","unrelated",0.207466745036215,0
"radio-rabbit","unrelated",0.410622575468215,0.0435
"popular-famous","related",0.546014201236986,0.825
"expert-vodka","unrelated",0.1750058028286,0.106
"worried-nervous","related",0.467287418089795,0.8625
"disgusting-pressure","unrelated",0.180398778256827,0.1
"doll-toy","related",0.558920851164356,0.85
"good-bad","related",0.612197289027116,0
"total-complete","related",0.629467022698112,0.777
"credit-loan","related",0.50990982631747,0.883
"bomb-explosive","related",0.543319667791053,0.9
"hotel-juliet","unrelated",0.269821395277971,0.05
"fake-explosion","unrelated",0.204460338538742,0.075
"move-cigar","unrelated",0.273447985145296,0.0375
"elsewhere-criminal","unrelated",0.26386197083284,0.0245
"finally-eventually","related",0.493712278643879,0.8755
"anniversary-explosive","unrelated",0.251998611831956,0
"forgive-excuse","related",0.600940629649637,0.776
"guard-horrible","unrelated",0.166473305960488,0
"radar-lunch","unrelated",0.215752024277708,0.05
"noble-brave","related",0.457898504265569,0.528
"cinnamon-battalion","unrelated",0.236775375750388,0
"revenge-justice","related",0.37151914128483,0.8015
"just-recently","related",0.467326852519495,0
"member-leader","related",0.638444374121833,0.6795
"slow-fast","related",0.563581241958439,0.156
"ash-dust","related",0.464032612990591,0.7595
"listen-mountain","unrelated",0.226053474119042,0
"witness-testimony","related",0.690104643386802,0.8375
"nobel-prize","related",0.516955100994228,0.95
"secret-civilization","unrelated",0.140325163219909,0.2225
"weight-helicopter","unrelated",0.227501686848363,0.0935
"channel-news","related",0.332842033308447,0.741
"bible-lobster","unrelated",0.200373347777637,0.025
"invasion-attack","related",0.507836127057894,0.7835
"channel-stroll","unrelated",0.165255280577407,0.101
"top-bottom","related",0.738964096265802,0.625
"rest-sleep","related",0.458840503693383,0.8175
"comfortable-pleasant","related",0.550820706212857,0.713
"spinal-abdominal","related",0.43301381699205,0.684
"skirt-dress","related",0.464798813466225,0.825
"healthy-excuse","unrelated",0.241048331980053,0.1
"push-very","unrelated",0.285701484476609,0
"cover-hide","related",0.555101065906098,0.7125
"value-skull","unrelated",0.213117805964008,0.106
"follow-chase","related",0.406413717148081,0.8
"monday-tuesday","related",0.662855247501551,0.9
"steal-rob","related",0.352566553168435,0.9
"big-huge","related",0.829016484248118,0.95
"frequency-calm","unrelated",0.214884682687971,0.131
"widow-woman","related",0.483494867123034,0.766
"cocaine-wire","unrelated",0.23953083223991,0.025
"voice-approval","unrelated",0.35662811744391,0.1885
"eye-ear","related",0.649116778136451,0.727
"proud-excited","related",0.541301616156179,0.2325
"wine-dark","unrelated",0.327142603587027,0.1235
"toilet-sink","related",0.423978574533216,0.775
"agent-detective","related",0.441828771854761,0.716
"trouble-problem","related",0.539809840700746,0.8875
"dig-bury","related",0.362031605890637,0.8
"arrive-come","related",0.556808273136488,0.825
"open-close","related",0.610444339568315,0.2
"briefcase-ability","unrelated",0.233224500156617,0.1
"glass-bottle","related",0.49882379267789,0.783
"parliament-freeze","unrelated",0.109801707133628,0.0225
"suddenly-unexpectedly","related",0.681498419264391,0.85
"christmas-armory","unrelated",0.142202054249828,0.0325
"telescope-cut","unrelated",0.177898751772545,0.05
"seller-joy","unrelated",0.278815574773897,0.081
"humble-modest","related",0.72685642774063,0.866
"surprise-scar","unrelated",0.331580993677928,0.0475
"read-write","related",0.571295485585495,0.8
"pocket-alien","unrelated",0.208234122901136,0.075
"low-high","related",0.638991712432999,0.2
"iron-metal","related",0.668398209604972,0.9
"quiet-calm","related",0.628528541084817,0.825
"power-energy","related",0.604547932020802,0.8125
"celebrity-star","related",0.429027615222068,0.781
"character-personality","related",0.520765407241944,0.8375
"cocaine-heroin","related",0.632436406004114,0.9
"question-ask","related",0.632797905823808,0.727
"extremely-very","related",0.591213830815195,0
"inability-unable","related",0.666779595239071,0.8
"consider-think","related",0.731419402082517,0.8
"active-activity","related",0.580044470798946,0.768
"hate-love","related",0.373143505492371,0.8215
"live-survive","related",0.426170222834874,0.825
"south-schedule","unrelated",0.208111982308536,0.106
"tank-engine","related",0.461936508686699,0.6505
"button-press","related",0.524451424699409,0.275
"arsenal-armory","related",0.345535209459445,0.8785
"bear-wolf","related",0.535555957322899,0.8
"hunger-thirst","related",0.647043181069501,0.777
"carbon-hydrogen","related",0.429360904699403,0.8695
"princess-gather","unrelated",0.23347387149856,0.106
"late-early","related",0.646293466761151,0
"method-technique","related",0.544556775880368,0.86
"southern-western","related",0.482195547879636,0.2
"manage-chest","unrelated",0.268046077722707,0
"warning-audience","unrelated",0.292600698636148,0.1765
"article-spirit","unrelated",0.309371069895116,0.144
"what-administrative","unrelated",0.207650348894877,0.05
"reporter-swim","unrelated",0.214884370014337,0.0505
"tournament-match","related",0.565337913074135,0.8595
"congratulate-animal","unrelated",0.167475130611756,0
"interrupt-bruise","unrelated",0.277894383457861,0.0475
"competition-oath","unrelated",0.223777379850591,0.1085
"lawyer-dance","unrelated",0.232384363793876,0.075
"dinner-breakfast","related",0.579937665137799,0.775
"amateur-rear","unrelated",0.259634264764764,0.115
"dude-democracy","unrelated",0.258602588475289,0.111
"slave-servant","related",0.59691693813741,0.6175
"pound-dollar","related",0.530528399849072,0.8475
"autograph-subject","unrelated",0.276282530931408,0.173
"text-poem","related",0.372768635608195,0.6985
"pride-turkey","unrelated",0.235940641336808,0.081
"monk-priest","related",0.516564687316396,0.8425
"gallery-drug","unrelated",0.303785948671344,0.05
"refuse-accept","related",0.41996894884378,0.1
"producer-north","unrelated",0.248230169869886,0.1125
"english-reduce","unrelated",0.220108283927943,0
"size-length","related",0.610557487798807,0.7915
"ill-sick","related",0.381422661879175,0.9
"forbidden-outcome","unrelated",0.231383029420219,0.117
"okay-yeah","related",0.574229794229467,0.2
"ring-necklace","related",0.44843791223242,0.739
"thin-thick","related",0.634120104645558,0.2
"honey-butter","related",0.526222206201077,0.593
"badge-uniform","related",0.4132628887529,0.753
"arrive-unpleasant","unrelated",0.208187030995476,0
"engagement-fantastic","unrelated",0.205566681709926,0
"climb-funding","unrelated",0.193080432433501,0.106
"advice-length","unrelated",0.261714023702845,0.112
"dragon-absence","unrelated",0.109543760282037,0
"ordinary-signature","unrelated",0.298990105061903,0.1635
"coal-highness","unrelated",0.136786983603335,0.05
"dramatic-package","unrelated",0.286701916205837,0.112
"urgent-remember","unrelated",0.332037656648376,0.056
"impossible-university","unrelated",0.207429029633276,0
"strong-surface","unrelated",0.260065130893653,0.217
"career-lock","unrelated",0.230534879242702,0.0725
"suffer-charming","unrelated",0.181972636031791,0
"model-emergency","unrelated",0.234807376884512,0.171
"capsule-probe","related",0.280213052011013,0.2615
"silent-fishing","unrelated",0.163818922396497,0
"shark-password","unrelated",0.242383771155138,5e-04
"farmer-blackmail","unrelated",0.201264358238154,0
"layer-let","unrelated",0.47457779815231,0.1115
"helpless-powerless","related",0.768737810035608,0.9
"court-substitute","unrelated",0.310919028044823,0.2075
"conservative-toy","unrelated",0.219198296043475,0.1025
"bonus-sunday","unrelated",0.326642466366292,0.1085
"espionage-black","unrelated",0.182374980576105,0.131
"taxi-modest","unrelated",0.23046488429042,0
"miserable-discussion","unrelated",0.18781113664327,0.112
"phase-small","unrelated",0.242569343274808,0.1185
"goose-duck","related",0.515169933642011,0.875
"chancellor-president","related",0.473749472817332,0.8225
"finger-garage","unrelated",0.278712353685836,0.05
"atomic-valley","unrelated",0.185945077611839,0.0785
"shine-machine","unrelated",0.194168642203624,0.106
"arrange-organize","related",0.6538193484159,0.8625
"punish-race","unrelated",0.259632747710516,0.106
"badge-knew","unrelated",0.286508991776479,0
"wall-fence","related",0.41986678361706,0.767
"imagination-fleet","unrelated",0.163536679926593,0.125
"actually-really","related",0.480101688709659,0.775
"officially-official","related",0.670228369522353,0.8235
"beach-coast","related",0.540543225799466,0.8175
"chain-rope","related",0.339923462699668,0.7825
"dna-scandal","unrelated",0.171204296635338,0.1
"trailer-van","related",0.246765045266163,0.7495
"chaos-bro","unrelated",0.262609425570429,0.1
"ignorance-arrogance","related",0.50895386582451,0.3725
"hair-watson","unrelated",0.184338200859974,0
"climb-jump","related",0.420690723110811,0.704
"radius-perimeter","related",0.45027753591354,0.627
"widow-van","unrelated",0.256271916884541,0.025
"navigation-communication","related",0.337077983495621,0.366
"live-ship","unrelated",0.249256186920429,0.106
"protect-structure","unrelated",0.420606488942158,0.184
"universe-galaxy","related",0.501319802571498,0.85
"unit-division","related",0.583476320211607,0.7145
"dynasty-tell","unrelated",0.274800920036057,0.056
"governor-jacket","unrelated",0.286151302202624,0.1
"expensive-cheap","related",0.542852680595442,0.85
"sensor-transmitter","related",0.376047770537715,0.8115
"right-french","unrelated",0.270516452125328,0.121
"honey-calculate","unrelated",0.242684115631222,0
"hunting-fishing","related",0.585471333514008,0.7705
"ridiculous-ear","unrelated",0.217723565929564,0
"unfortunate-something","unrelated",0.297475046082731,0
"responsibility-duty","related",0.605205977634024,0.8625
"never-ever","related",0.693344305625466,0.05
"satisfied-happy","related",0.610927241969361,0.8615
"superman-batman","related",0.564009914340602,0.9
"shark-fish","related",0.4061167925396,0.8875
"report-cap","unrelated",0.309568753328775,0.081
"gunpowder-dynamite","related",0.416091074175621,0.875
"sugar-ever","unrelated",0.213887733830794,0
"lunar-solar","related",0.515261871106305,0.836
"create-produce","related",0.517310711084908,0.8585
"white-black","related",0.551584606911654,0.55
"normally-usually","related",0.738516306991618,0.8
"million-billion","related",0.596190046747267,0.9
"church-prize","unrelated",0.200394148851729,0.106
"land-style","unrelated",0.158932266849461,0.156
"alone-fluid","unrelated",0.209389573199527,0.0725
"glasses-hear","unrelated",0.286892844384585,0.056
"boys-girls","related",0.718699355272026,0.9
"jazz-coast","unrelated",0.238920069743365,0.091
"majority-vote","related",0.32919569022051,0.85
"lunar-raccoon","unrelated",0.263200333762466,0.0375
"motive-flower","unrelated",0.17998956784672,0.025
"complaint-city","unrelated",0.218085556485652,0.1135
"caliber-bullet","related",0.432449291039167,0.8
"front-really","unrelated",0.327051053455174,0
"ambassador-insect","unrelated",0.189141282246841,5e-04
"jeep-truck","related",0.464257363345822,0.8625
"culture-nervous","unrelated",0.235243452006556,0.1075
"tasty-fingerprint","unrelated",0.260081850043616,0
"bay-harbor","related",0.426930253534915,0.826
"stick-hammer","related",0.447344690053389,0.331
"nightmare-perfume","unrelated",0.191511471437336,0.0485
"dean-wealth","unrelated",0.2798680158168,0.106
"seminar-meat","unrelated",0.231831949496806,0
"naturally-generally","related",0.470264945230884,0.106
"equipment-equip","related",0.75273496688622,0.25
"follow-circus","unrelated",0.23354217217363,0.025
"therapy-treatment","related",0.605808822680934,0.8385
"mistress-particle","unrelated",0.195846572033509,0
"plus-minus","related",0.554701456277723,0.65
"dessert-cake","related",0.493151589874555,0.8875
"blood-urine","related",0.362433685798152,0.756
"budget-funding","related",0.518919626221833,0.8225
"impression-metal","unrelated",0.228105300967748,0.1
"paradise-hell","related",0.403321687169204,0.775
"suicide-signal","unrelated",0.273615305242599,0.075
"blanket-towel","related",0.518985843318118,0.5275
"question-devil","unrelated",0.248906232698465,0.1
"chancellor-technique","unrelated",0.127603154405606,0.106
"pride-dignity","related",0.590232136287143,0.811
"enough-sufficient","related",0.765351290793765,1
"propose-gram","unrelated",0.215214721760336,0
"refuge-television","unrelated",0.186128275972792,0.106
"rum-cognac","related",0.246217546449377,0.85
"marathon-race","related",0.347763220801572,0.835
"compliment-gift","related",0.40243377613372,0.6385
"student-definition","unrelated",0.275721527585788,0.2
"naïve-sip","unrelated",0.173815974431884,0.05
"rhythm-style","related",0.451192966848047,0.5135
"lawyer-prosecutor","related",0.503725365440836,0.775
"cinema-theater","related",0.544272500010412,0.897
"campaign-election","related",0.475778746491152,0.874
"heat-temperature","related",0.613846089133197,0.876
"poverty-misery","related",0.490839743156598,0.844
"magic-wallet","unrelated",0.323502806306252,0.075
"narrow-forever","unrelated",0.134230913184392,0
"popular-informant","unrelated",0.218058426831591,0.061
"room-friendship","unrelated",0.272833731536106,0.1185
"chain-determination","unrelated",0.178640836643224,0.106
"operate-surgery","related",0.340407666437928,0.75
"cloth-handkerchief","related",0.481726397624687,0.805
"personal-intimate","related",0.53220733599681,0.731
"sherlock-battle","unrelated",0.239686367110127,0.106
"uncle-watch","unrelated",0.308142745153293,0.0875
"combat-fight","related",0.778681237670433,0.9
"capacity-ability","related",0.562289548132131,0.777
"finance-suspect","unrelated",0.230197760627086,0.088
"spring-fork","unrelated",0.50634823724093,0.073
"africa-america","related",0.511339323635432,0.5895
"idea-theory","related",0.599575086680723,0.8
"slow-government","unrelated",0.242865147622465,0.106
"learn-teach","related",0.55092260933816,0.8435
"frequency-signal","related",0.41199813188607,0.302
"cook-energy","unrelated",0.210318486522058,0.125
"critical-boss","unrelated",0.318992805550583,0.1585
"hostage-produce","unrelated",0.20496553091235,0.039
"project-fear","unrelated",0.266081697440761,0.101
"nothing-something","related",0.622022819489822,0.5
"member-ultimate","unrelated",0.358717698983772,0.1175
"compass-map","related",0.484909211015766,0.8395
"nail-tooth","related",0.519063366512243,0.2
"royal-kingdom","related",0.514054211840247,0.8375
"mouse-rat","related",0.421741141279232,0.8875
"tuna-temperature","unrelated",0.277661097887564,0.0725
"enter-neck","unrelated",0.495706317822279,0
"international-world","related",0.44733827552677,0.769
"lesbian-gay","related",0.5467740718285,0.9
"trouble-senator","unrelated",0.18732535853849,0.1725
"loyal-nuclear","unrelated",0.243461097533281,0.05
"area-zone","related",0.613930597865018,0.8325
"genius-past","unrelated",0.192421213697561,0.05
"medical-hat","unrelated",0.354894196786169,0.06
"influence-effect","related",0.508234855551002,0.861
"extra-painter","unrelated",0.219588517271767,0.1
"sober-drunk","related",0.601809124043513,0.8
"concrete-steel","related",0.421256749329654,0.664
"hotel-motel","related",0.5323416188165,0.825
"arrival-departure","related",0.605253078300701,0.8
"interrupt-disturb","related",0.520758600403823,0.817
"box-cardinal","unrelated",0.257244594273625,0.106
"forget-remember","related",0.658534185811547,0.85
"fox-repair","unrelated",0.255834663372347,0.05
"church-chapel","related",0.526587275376151,0.861
"circle-triangle","related",0.636978513940489,0.6155
"third-do","unrelated",0.264219384533822,0
"situation-sale","unrelated",0.311013077995199,0.3
"saturday-product","unrelated",0.266078916497703,0.112
"wall-manipulate","unrelated",0.210166813367902,0
"proceed-continue","related",0.614037542251126,0.8
"artifact-cool","unrelated",0.333140117177715,0
"smart-misfortune","unrelated",0.217804470601655,0.0895
"pension-salary","related",0.448551636461879,0.81
"poison-statement","unrelated",0.244022840203231,0.112
"telegram-select","unrelated",0.283473137078497,0.056
"answer-reply","related",0.669421952866992,0.8535
"motive-alibi","related",0.244694645462458,0.717
"pump-hose","related",0.409024356389442,0.7465
"sensational-spectacular","related",0.656176760212122,0.8
"search-butter","unrelated",0.276336171575202,0
"phenomenon-die","unrelated",0.270665650768752,0.1685
"beast-animal","related",0.520935859298087,0.9
"chemistry-biology","related",0.548415742699234,0.7695
"drown-swim","related",0.5124212501794,0.2
"conspiracy-fraud","related",0.448610609724466,0.75
"typical-classic","related",0.448169625675627,0.6635
"frog-lizard","related",0.465873034980149,0.817
"road-act","unrelated",0.281501912287216,0.131
"conflict-dispute","related",0.629417186937289,0.8685
"useless-community","unrelated",0.25890389144134,0.0745
"skirt-investigator","unrelated",0.184990304911876,0.05
"power-fever","unrelated",0.254558587414292,0.1
"enough-nation","unrelated",0.280955226914597,0.1125
"god-divine","related",0.504400982208367,0.7715
"recognize-knew","related",0.423311521099493,0.156
"ninja-handkerchief","unrelated",0.256462184557362,0.062
"frog-bedroom","unrelated",0.142509403535185,0.031
"kidney-liver","related",0.605546528210051,0.837
"prevent-orange","unrelated",0.23863089911562,0
"revelation-crime","unrelated",0.301481813264874,0.1325
"single-position","unrelated",0.289420102374926,0.2
"earthquake-explosion","related",0.462619838901449,0.575
"bomb-famous","unrelated",0.301884557007654,0.05
"green-dignity","unrelated",0.137942962852688,0.0365
"company-interesting","unrelated",0.315788570906909,0
"risky-dangerous","related",0.641288620249284,0.8375
"bush-test","unrelated",0.246861464830004,0.1
"donkey-cigarette","unrelated",0.234145257834481,0
"fool-idiot","related",0.632159070099096,0.855
"mental-emotional","related",0.516541620810758,0.7945
"month-fighter","unrelated",0.19303063801729,0.0475
"curse-witch","related",0.368079001848715,0.7195
"saturday-sunday","related",0.651284674644103,0.95
"stand-invest","unrelated",0.384227980310131,0.1535
"tablet-pill","related",0.626036498915887,0.778
"run-walk","related",0.554065438884318,0.825
"corner-alley","related",0.549288784343941,0.7365
"realize-understand","related",0.600033595389853,0.8
"west-meal","unrelated",0.233045906595571,0.01
"humble-communication","unrelated",0.256855938408529,0.112
"collect-silence","unrelated",0.264408890217352,0.106
"incident-hug","unrelated",0.217768241552244,0.1235
